,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
1640,10686,[13C].[14C].[15N][16C][17C]1([17O])[15C][18O]1,[15N][16C][17C]1([17O])[15C][18O]1,NCC1(O)CO1,0.4222633486252446,0.8464401546874963
1660,10965,[13C].[14C].[16C][15N][17C]([17O])[15C]=[18O],[16C][15N][17C]([17O])[15C]=[18O],CNC(O)C=O,0.2964812511493633,0.7962500147074724
1680,11122,[13C].[14C].[15N][17C][15C][17O].[16C].[18O],[15N][17C][15C][17O],NCCO,0.3121246774804693,0.8339239846859712
1700,11147,[13C].[14C].[15N]=[17C]1[15C][17O][18O]1.[16C],[15N]=[17C]1[15C][17O][18O]1,N=C1COO1,0.28860627168102604,0.7528336943894381
1720,11198,[13C].[14C].[16C][17O][15C][17C][18O][15N],[16C][17O][15C][17C][18O][15N],COCCON,0.11617206065223376,0.9525695536340861
1740,11231,[13C].[14C].[16C][15N]([18O])[17O][15C][17C],[16C][15N]([18O])[17O][15C][17C],CN(O)OCC,0.25425652837806945,0.8793091720754055
1760,11276,[13C].[14C].[15C]1[17C][15N][16C][18O][17O]1,[15C]1[17C][15N][16C][18O][17O]1,C1CNCOO1,0.5895765370590561,0.620852075875121
1780,11336,[13C].[14C].[16C]=[15N][17C][15C][17O].[18O],[16C]=[15N][17C][15C][17O],C=NCCO,0.09157447534453639,0.9437255169733205
1800,11448,[13C].[14C].[15N][17C]1([16C][18O])[15C][17O]1,[15N][17C]1([16C][18O])[15C][17O]1,NC1(CO)CO1,0.41448816564492064,0.8411689229519937
1820,11504,[13C].[14C].[15C]1[17O][17C]12[16C][15N][18O]2,[15C]1[17O][17C]12[16C][15N][18O]2,C1OC12CNO2,0.3641624668056735,0.9070441853151049
1840,11752,[13C].[14C].[15N][17C][15C]1[17O][18O]1.[16C],[15N][17C][15C]1[17O][18O]1,NCC1OO1,0.22127367444466212,0.8934181220976655
1860,11782,[13C].[14C].[16C][17O][15C]([17C])[18O][15N],[16C][17O][15C]([17C])[18O][15N],COC(C)ON,0.40805804899578013,0.733166754108163
1880,11823,[13C].[14C].[16C]1[15N][17C]2[17O][15C]2[18O]1,[16C]1[15N][17C]2[17O][15C]2[18O]1,C1NC2OC2O1,0.46081431854437666,0.7215274311244263
