,rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
40160,413697,12.0,C[15C]([17O])([17C]=[15N])[16C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([18O])c1ccccc1,CC(O)(C=N)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](O)c1ccccc1,0.17209351497718361,0.9220514854588886
40180,779653,12.0,C[15C]1[14C@@H](c2ccccc2)[17O][15N]2[16C@H](c3ccc(N4Cc5ccccc5C4=O)cc3)[17C]12,CC1[C@@H](c2ccccc2)ON2[C@H](c3ccc(N4Cc5ccccc5C4=O)cc3)C12,0.09287160424873342,0.9705072262083851
40200,412362,12.0,C[15C]([15N]=[17C])[16C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([18O][17O])c1ccccc1,CC(N=C)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](OO)c1ccccc1,0.2252428937901959,0.8754346614755538
40220,779440,12.0,C[15C]([17C])[14C@H]([17O][16C@@H]([15N])c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CC(C)[C@H](O[C@@H](N)c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.08782354653821285,0.9799023072530663
40240,779561,12.0,C[15C]1[14C@@H](c2ccccc2)[17O][15N]([18O])[17C]1[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1,CC1[C@@H](c2ccccc2)ON(O)C1Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.08247317316885114,0.9599518890683588
40260,764787,12.0,C[15C]1([17C](=[17O])[15N]=[16CH]c2ccc(N3Cc4ccccc4C3=O)cc2)[18O][14C@@H]1c1ccccc1,CC1(C(=O)N=Cc2ccc(N3Cc4ccccc4C3=O)cc2)O[C@@H]1c1ccccc1,0.06711226954292616,0.9748122676322248
40280,304008,12.0,C[15C][16C@H]([17O][18O][15N][17C]=[14CH]c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,CC[C@H](OONC=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.11385577518525669,0.9353146859299388
40300,422652,12.0,C[15C][17C]([15N]=[18O])[17O][14C@@H]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CCC(N=O)O[C@@H](Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.134015618830543,0.9334747238066626
40320,423425,12.0,C[15C](=[18O])[17C]([15N])[16C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([17O])c1ccccc1,CC(=O)C(N)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](O)c1ccccc1,0.21450532628928612,0.9073897934192036
40340,223642,12.0,C[15C]1([17C]2[17O][14C@@H]2c2ccccc2)[15N][18O]1,CC1(C2O[C@@H]2c2ccccc2)NO1,0.15354573051320766,0.9527545520137551
40360,223677,12.0,C[15C]([18O])([15N][16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)[17C]1[17O][14C@@H]1c1ccccc1,CC(O)(NCc1ccc(N2Cc3ccccc3C2=O)cc1)C1O[C@@H]1c1ccccc1,0.08878114680356604,0.9722015913522258
40380,421173,12.0,C[15C][15N][18O][17O][14C@@H]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CCNOO[C@@H](Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.14266217949405682,0.9261851960148081
40400,768417,12.0,C[15C]([16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)([17O][15N]=[17C])[14C@H]([18O])c1ccccc1,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)(ON=C)[C@H](O)c1ccccc1,0.11248306404765798,0.9772436731474399
40420,768408,12.0,C[15C]1([16CH]c2ccc(N3Cc4ccccc4C3=O)cc2)[17O][15N]([17C])[18O][14C@@H]1c1ccccc1,CC1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)ON(C)O[C@@H]1c1ccccc1,0.1251182085648049,0.93096802239802
