smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.CC12C=C(O)N1O2,14.0,13.0,13.0,12.0
C.CC1(O)C=C2ON21,14.0,13.0,13.0,12.0
C.CC12C=C(N1)O2.O,13.0,12.0,12.0,11.0
C.CC12C=C(O1)N2O,14.0,13.0,13.0,12.0
C.CC1=NC(O)=C1.O,15.0,14.0,14.0,13.0
C.CC1=NC(OO)=C1,16.0,15.0,15.0,14.0
C.NC(O)=CCCO,14.0,13.0,13.0,12.0
C.NC1=CCCOO1,15.0,14.0,14.0,13.0
C.OC1=CCCON1,15.0,14.0,14.0,13.0
C.OCCC=C1NO1,15.0,14.0,14.0,13.0
C.C1=C2ON2OCC1,16.0,15.0,15.0,14.0
C.NC(O)=CC1CO1,13.0,12.0,12.0,11.0
C.C(=C1NO1)C1CO1,14.0,13.0,13.0,12.0
C.NC1=CC(CO)O1,13.0,12.0,12.0,11.0
C.C1=C2NOCC1O2,14.0,13.0,13.0,12.0
C.NC1=CC2(CO2)O1,12.0,11.0,11.0,10.0
C.OCC1C=C(O)N1,15.0,14.0,14.0,13.0
C.C1=C2NC1COO2,16.0,15.0,15.0,14.0
C.OC1=CC2CON12,16.0,15.0,15.0,14.0
C.OCC1C=C2ON21,16.0,15.0,15.0,14.0
C.OC1=CC2(CO2)N1,14.0,13.0,13.0,12.0
C.C1=C2ON2C12CO2,15.0,14.0,14.0,13.0
C.OCC12C=C(N1)O2,14.0,13.0,13.0,12.0
C.C1=C2OC13CON23,15.0,14.0,14.0,13.0
C.OCC1=NC(O)=C1,16.0,15.0,15.0,14.0
C.C1=C2N=C1COO2,17.0,16.0,16.0,15.0
C.NC(O)=CCC=O,15.0,14.0,14.0,13.0
C.O=CCC=C1NO1,16.0,15.0,15.0,14.0
C.NC1=CC(C=O)O1,14.0,13.0,13.0,12.0
C.O=CC1C=C(O)N1,16.0,15.0,15.0,14.0
C.O=CC1C=C2ON21,17.0,16.0,16.0,15.0
C.O=CC12C=C(N1)O2,15.0,14.0,14.0,13.0
C.O=CC1=NC(O)=C1,17.0,16.0,16.0,15.0
C.NC1=CCCO1.O,14.0,13.0,13.0,12.0
C.ONC1=CCCO1,15.0,14.0,14.0,13.0
C.O=NC1=CCCO1,16.0,15.0,15.0,14.0
C.NC1=CC(O)CO1,13.0,12.0,12.0,11.0
C.C1=C2NOC1CO2,14.0,13.0,13.0,12.0
C.NC1=CC(=O)CO1,14.0,13.0,13.0,12.0
C.C1=C2NC1CO2.O,15.0,14.0,14.0,13.0
C.ON1C2=CC1CO2,16.0,15.0,15.0,14.0
C.OC12C=C(N1)OC2,14.0,13.0,13.0,12.0
C.C1=C2OCC13ON23,15.0,14.0,14.0,13.0
C.C1=C2N=C1CO2.O,16.0,15.0,15.0,14.0
C.NC1=CCC(O)O1,15.0,14.0,14.0,13.0
C.C1=C2NOC(C1)O2,16.0,15.0,15.0,14.0
C.NC1=CC2OC2O1,14.0,13.0,13.0,12.0
C.OC1OC2=CC1N2,16.0,15.0,15.0,14.0
C.C1=C2OC3ON2C13,17.0,16.0,16.0,15.0
C.C1=C2NC13OC3O2,15.0,14.0,14.0,13.0
C.OC1OC2=CC1=N2,17.0,16.0,16.0,15.0
C.NC1=CCC(=O)O1,16.0,15.0,15.0,14.0
C.O=C1OC2=CC1N2,17.0,16.0,16.0,15.0
C.O=C1OC2=CC1=N2,18.0,17.0,17.0,16.0
C.O.OC1=CCCN1,14.0,13.0,13.0,12.0
C.OOC1=CCCN1,15.0,14.0,14.0,13.0
C.OC1=CCCN1O,15.0,14.0,14.0,13.0
C.C1=C2OON2CC1,16.0,15.0,15.0,14.0
C.C1=C2ON2CC1.O,15.0,14.0,14.0,13.0
C.OC1=CC(O)CN1,13.0,12.0,12.0,11.0
C.C1=C2NCC1OO2,14.0,13.0,13.0,12.0
C.OC1=CC2CN1O2,14.0,13.0,13.0,12.0
C.OC1C=C2ON2C1,14.0,13.0,13.0,12.0
C.O=C1C=C(O)NC1,14.0,13.0,13.0,12.0
C.O=C1C=C2ON2C1,15.0,14.0,14.0,13.0
C.C1=C2NCC1O2.O,13.0,12.0,12.0,11.0
C.ON1CC2C=C1O2,14.0,13.0,13.0,12.0
C.OC12C=C(NC1)O2,12.0,11.0,11.0,10.0
C.C1=C2OC13CN2O3,13.0,12.0,12.0,11.0
C.O.OC1=CC2CN12,15.0,14.0,14.0,13.0
C.OOC1=CC2CN12,16.0,15.0,15.0,14.0
C.OC1=CC2(O)CN12,14.0,13.0,13.0,12.0
C.C1=C2OOC13CN23,15.0,14.0,14.0,13.0
C.C1=C2OC13CN23.O,14.0,13.0,13.0,12.0
C.OC1=CCC(O)N1,15.0,14.0,14.0,13.0
C.C1=C2NC(C1)OO2,16.0,15.0,15.0,14.0
C.OC1=CCC2ON12,16.0,15.0,15.0,14.0
C.OC1CC=C2ON21,16.0,15.0,15.0,14.0
C.OC1=CC2OC2N1,14.0,13.0,13.0,12.0
C.C1=C2ON2C2OC12,15.0,14.0,14.0,13.0
C.OC1NC2=CC1O2,14.0,13.0,13.0,12.0
C.C1=C2OC1C1ON21,15.0,14.0,14.0,13.0
C.C1=C2NC3OC13O2,13.0,12.0,12.0,11.0
C.OC1=CC2C(O)N12,16.0,15.0,15.0,14.0
C.C1=C2OOC3C1N23,17.0,16.0,16.0,15.0
C.OC1=CC23OC2N13,15.0,14.0,14.0,13.0
C.OC1N2C3=CC12O3,15.0,14.0,14.0,13.0
C.O=C1CC=C(O)N1,16.0,15.0,15.0,14.0
C.O=C1CC=C2ON12,17.0,16.0,16.0,15.0
C.O=C1NC2=CC1O2,15.0,14.0,14.0,13.0
C.O=C1C2C=C(O)N12,17.0,16.0,16.0,15.0
C.O=C1N2C3=CC12O3,16.0,15.0,15.0,14.0
C.C1=C2NC(C1)O2.O,15.0,14.0,14.0,13.0
C.ON1C2=CCC1O2,16.0,15.0,15.0,14.0
C.OC1C=C2NC1O2,14.0,13.0,13.0,12.0
C.C1=C2OC3C1ON23,15.0,14.0,14.0,13.0
C.O=C1C=C2NC1O2,15.0,14.0,14.0,13.0
C.C1=C2OC3C1N23.O,16.0,15.0,15.0,14.0
C.OC12C=C3OC1N32,15.0,14.0,14.0,13.0
C.OC12CC=C(N1)O2,16.0,15.0,15.0,14.0
C.C1=C2OC3(C1)ON23,17.0,16.0,16.0,15.0
C.C1=C2NC3(O2)OC13,15.0,14.0,14.0,13.0
C.OC12OC3=CC1N32,17.0,16.0,16.0,15.0
C.C1=C2OC34OC13N24,16.0,15.0,15.0,14.0
C.O.OC1=CCC=N1,15.0,14.0,14.0,13.0
C.OOC1=CCC=N1,16.0,15.0,15.0,14.0
C.OC1=CC(O)C=N1,14.0,13.0,13.0,12.0
C.C1=NC2=CC1OO2,15.0,14.0,14.0,13.0
C.O=C1C=NC(O)=C1,15.0,14.0,14.0,13.0
C.C1=NC2=CC1O2.O,14.0,13.0,13.0,12.0
C.OC12C=NC(=C1)O2,13.0,12.0,12.0,11.0
C.OC1=CCC(O)=N1,16.0,15.0,15.0,14.0
C.C1=C2N=C(C1)OO2,17.0,16.0,16.0,15.0
