,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
147,C.N.OC1CC=CO1,8.0,7.0,7.0,6.0,6.0,55920
148,C.N.O=CCC=CO,8.0,7.0,7.0,6.0,6.0,55922
149,C.N.O=C1CC=CO1,7.0,6.0,6.0,5.0,5.0,55924
150,C.NC1C=COC1=O,8.0,7.0,7.0,6.0,6.0,56043
151,C.NC1=COC(=O)C1,8.0,7.0,7.0,6.0,6.0,56931
152,C.C=C=COC=O.N,7.0,6.0,8.0,7.0,6.0,57697
153,C.N.OC1C=C=CO1,7.0,6.0,8.0,7.0,6.0,57933
154,C.N.O=CC=C=CO,7.0,6.0,8.0,7.0,6.0,57935
155,C.N.O=C1C=C=CO1,6.0,5.0,7.0,6.0,5.0,57937
156,C.NC1=C=COC1=O,7.0,6.0,8.0,7.0,6.0,58036
157,C.N.OC1CC=CO1,8.0,7.0,7.0,6.0,6.0,64969
158,C.N.OC1C=C=CO1,7.0,6.0,8.0,7.0,6.0,66982
159,C.C.C=CN.OCO,8.0,7.0,7.0,6.0,6.0,72183
160,C.C.C=CN.C=O.O,8.0,7.0,7.0,6.0,6.0,72190
161,C.C.C=CN.O=CO,7.0,6.0,6.0,5.0,5.0,72193
162,C.C.C=CNOC=O,8.0,7.0,7.0,6.0,6.0,72194
163,C.C.C=CN.O=C=O,8.0,7.0,7.0,6.0,6.0,72195
164,C.C.C=CNC(=O)O,8.0,7.0,7.0,6.0,6.0,72223
165,C.C=CN.COC=O,8.0,7.0,7.0,6.0,6.0,72255
166,C.C=CNC.O=CO,8.0,7.0,7.0,6.0,6.0,72420
167,C.C=CN.CCO.O,8.0,7.0,7.0,6.0,6.0,72576
168,C.C=CN.CCO.O,8.0,7.0,7.0,6.0,6.0,72586
169,C.C=CN.CC(O)O,7.0,6.0,6.0,5.0,5.0,72593
170,C.C=CN.CC1OO1,8.0,7.0,7.0,6.0,6.0,72594
171,C.C=CNOC(C)O,8.0,7.0,7.0,6.0,6.0,72595
172,C.C=CNOC(C)O,8.0,7.0,7.0,6.0,6.0,72596
173,C.C=CN.CC(=O)O,8.0,7.0,7.0,6.0,6.0,72598
174,C.C=CN.CC=O.O,7.0,6.0,6.0,5.0,5.0,72600
175,C.C=CNO.CC=O,8.0,7.0,7.0,6.0,6.0,72601
176,C.C=CN.CC(=O)O,6.0,5.0,5.0,4.0,4.0,72603
177,C.C=CNOC(C)=O,7.0,6.0,6.0,5.0,5.0,72604
178,C.C=CNC(C)(O)O,8.0,7.0,7.0,6.0,6.0,72624
179,C.C=CNC(C)=O.O,8.0,7.0,7.0,6.0,6.0,72628
180,C.C=CN.OC1CO1,8.0,7.0,7.0,6.0,6.0,72652
181,C.C=CN.O=CCO,8.0,7.0,7.0,6.0,6.0,72654
182,C.C=CN.O=C1CO1,7.0,6.0,6.0,5.0,5.0,72656
183,C.C=CN.OC1CO1,8.0,7.0,7.0,6.0,6.0,72707
