rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
95558,[13C].[14C][15N]([18O][15C])[17C]([16C])=[17O],[14C][15N]([18O][15C])[17C]([16C])=[17O],CN(OC)C(C)=O
95574,[13C].[14C][15N][17C](=[17O])[16C][18O][15C],[14C][15N][17C](=[17O])[16C][18O][15C],CNC(=O)COC
95595,[13C].[14C][15N][17C]1([18O][15C])[16C][17O]1,[14C][15N][17C]1([18O][15C])[16C][17O]1,CNC1(OC)CO1
95624,[13C].[14C][15N][16C][17C][18O][15C].[17O],[14C][15N][16C][17C][18O][15C],CNCCOC
95631,[13C].[14C][15N]1[16C][17C]([18O][15C])[17O]1,[14C][15N]1[16C][17C]([18O][15C])[17O]1,CN1CC(OC)O1
95633,[13C].[14C][15N]([16C][17C]=[17O])[18O][15C],[14C][15N]([16C][17C]=[17O])[18O][15C],CN(CC=O)OC
95634,[13C].[14C][15N][16C][17C](=[17O])[18O][15C],[14C][15N][16C][17C](=[17O])[18O][15C],CNCC(=O)OC
95640,[13C].[14C][15N]1[16C][17C]1([17O])[18O][15C],[14C][15N]1[16C][17C]1([17O])[18O][15C],CN1CC1(O)OC
95706,[13C].[14C][15N][17O][17C](=[16C])[18O][15C],[14C][15N][17O][17C](=[16C])[18O][15C],CNOC(=C)OC
96296,[13C].[14C][15N][16C][17C]([18O])[17O][15C],[14C][15N][16C][17C]([18O])[17O][15C],CNCC(O)OC
96628,[13C].[14C][15N][17C]1([16C])[17O][15C][18O]1,[14C][15N][17C]1([16C])[17O][15C][18O]1,CNC1(C)OCO1
96660,[13C].[14C][15N][16C][17C]1[17O][15C][18O]1,[14C][15N][16C][17C]1[17O][15C][18O]1,CNCC1OCO1
97160,[13C].[14C][15N]([15C])[17C](=[17O])[18O][16C],[14C][15N]([15C])[17C](=[17O])[18O][16C],CN(C)C(=O)OC
97239,[13C].[14C][15N]([15C])[16C].[17O]=[17C][18O],[14C][15N]([15C])[16C],CN(C)C
97248,[13C].[14C][15N]([15C])[16C][18O][17C]=[17O],[14C][15N]([15C])[16C][18O][17C]=[17O],CN(C)COC=O
97290,[13C].[14C][15N]([15C])[17O][17C][16C].[18O],[14C][15N]([15C])[17O][17C][16C],CN(C)OCC
97293,[13C].[14C][15N]([15C])[18O][17C]([16C])[17O],[14C][15N]([15C])[18O][17C]([16C])[17O],CN(C)OC(C)O
97300,[13C].[14C][15N]([15C])[18O][17C]([16C])=[17O],[14C][15N]([15C])[18O][17C]([16C])=[17O],CN(C)OC(C)=O
97307,[13C].[14C][15N]([15C])[17C]([16C])[17O].[18O],[14C][15N]([15C])[17C]([16C])[17O],CN(C)C(C)O
97309,[13C].[14C][15N]([15C])[17C]([16C])([17O])[18O],[14C][15N]([15C])[17C]([16C])([17O])[18O],CN(C)C(C)(O)O
97310,[13C].[14C][15N]([15C])[17C]1([16C])[17O][18O]1,[14C][15N]([15C])[17C]1([16C])[17O][18O]1,CN(C)C1(C)OO1
