rmat_tag,distance,largest_frag,largest_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
1005498,3.0,C[15C][16C@H]([15N][14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,5.087900000000005,356.46900000000005,1.0,2.0,32.34,6.0,0.20833333333333334,4.0,0.6672464398532907
8010685,3.0,C[15C]1([16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C](=[17O])[18O])[15N][14C@@H]1c1ccccc1F,CC1([C@@H](C(=O)O)c2ccc(N3Cc4ccccc4C3=O)cc2)N[C@@H]1c1ccccc1,4.118400000000003,398.46200000000005,2.0,3.0,79.55,5.0,0.2,5.0,0.6338896356881024
8008754,3.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC([C@H](N)c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.465600000000004,384.4790000000001,1.0,3.0,63.400000000000006,6.0,0.2,4.0,0.6381160886493709
1053223,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N]=[14CH]c1ccccc1F,CC[C@@H](C(=O)ON=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.917900000000005,398.46200000000016,0.0,4.0,58.97,6.0,0.16,4.0,0.3364551930413942
1053166,4.0,C[15C][16C@H]([15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,5.417200000000005,354.45300000000003,0.0,2.0,32.67,5.0,0.16666666666666666,4.0,0.5633519207804547
1005684,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1([18O])[17O][15N]1[14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1(O)ON1Cc1ccccc1,4.434100000000003,400.4780000000001,1.0,4.0,56.080000000000005,6.0,0.24,5.0,0.6219999760747429
1053232,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])([18O])[15N]=[14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)(O)N=Cc1ccccc1,4.098100000000003,400.47800000000007,2.0,4.0,73.13000000000001,6.0,0.2,4.0,0.4833357713534097
1006848,4.0,C[15C]1[17O][17C]([18O])([15N][14CH]c2ccccc2F)[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1OC(O)(NCc2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.7852000000000023,400.4780000000002,2.0,4.0,61.800000000000004,5.0,0.24,5.0,0.6400573887375696
1023363,4.0,C[15C]1=[15N][14C@H](c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1=N[C@H](c2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,4.647100000000004,396.44600000000014,0.0,4.0,58.97,3.0,0.16,5.0,0.6058424944538042
1010794,4.0,C[15C]1([15N][14CH]c2ccccc2F)[16C@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17C]1([17O])[18O],CC1(NCc2ccccc2)[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C1(O)O,3.173600000000002,400.4780000000001,3.0,4.0,72.80000000000001,5.0,0.24,5.0,0.5754684204012743
