rmat_tag,distance,largest_frag,largest_cleaned
97326,6.0,C[15C][15N]([14CH]c1ccccc1F)[18O][16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)O[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1
97310,6.0,C[15C][15N]([14CH]c1ccccc1F)[17C]1([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17O][18O]1,CCN(Cc1ccccc1)C1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)OO1
97307,6.0,C[15C][15N]([14CH]c1ccccc1F)[17C]([17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)C(O)Cc1ccc(N2Cc3ccccc3C2=O)cc1
97290,6.0,C[15C][15N]([14CH]c1ccccc1F)[17O][17C][16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)OCCc1ccc(N2Cc3ccccc3C2=O)cc1
97248,6.0,C[15C][15N]([14CH]c1ccccc1F)[16C@H]([18O][17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)[C@H](OC=O)c1ccc(N2Cc3ccccc3C2=O)cc1
97160,6.0,C[15C][15N]([14CH]c1ccccc1F)[17C](=[17O])[18O][16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)C(=O)OCc1ccc(N2Cc3ccccc3C2=O)cc1
96660,6.0,C[15C]1[17O][17C]([16C@H]([15N][14CH]c2ccccc2F)c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[18O]1,CC1OC([C@H](NCc2ccccc2)c2ccc(N3Cc4ccccc4C3=O)cc2)O1
96628,6.0,C[15C]1[17O][17C]([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)([15N][14CH]c2ccccc2F)[18O]1,CC1OC(Cc2ccc(N3Cc4ccccc4C3=O)cc2)(NCc2ccccc2)O1
97407,6.0,C[15C][15N]([14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1[17O][18O]1,CCN(Cc1ccccc1)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1OO1
99258,6.0,C[15C][17C]1([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[17O][15N]([14CH]c2ccccc2F)[18O]1,CCC1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)ON(Cc2ccccc2)O1
97460,6.0,C[15C][15N]([14CH]c1ccccc1F)[17O][17C]([18O])=[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)OC(O)=Cc1ccc(N2Cc3ccccc3C2=O)cc1
99115,6.0,C[15C][17C](=[17O])[18O][16C@@H]([15N][14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCC(=O)O[C@@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
99088,6.0,C[15C][17C](=[17O])[18O][15N]([14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCC(=O)ON(Cc1ccccc1)Cc1ccc(N2Cc3ccccc3C2=O)cc1
98735,6.0,C[15C](=[15N][14CH]c1ccccc1F)[17O][17C]([18O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(=NCc1ccccc1)OC(O)Cc1ccc(N2Cc3ccccc3C2=O)cc1
98239,6.0,C[15C]1([15N][14CH]c2ccccc2F)[17O][17C]([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[18O]1,CC1(NCc2ccccc2)OC(Cc2ccc(N3Cc4ccccc4C3=O)cc2)O1
98110,6.0,C[15C]([15N][14CH]c1ccccc1F)[17O][17C]([18O])=[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)OC(O)=Cc1ccc(N2Cc3ccccc3C2=O)cc1
98083,6.0,C[15C]1[17O][17C]([18O])[16C@@H](c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[15N]1[14CH]c1ccccc1F,CC1OC(O)[C@@H](c2ccc(N3Cc4ccccc4C3=O)cc2)N1Cc1ccccc1
98051,6.0,C[15C]([15N][14CH]c1ccccc1F)[17O][17C]1[18O][16C@@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)OC1O[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1
98042,6.0,C[15C]1[17O][17C]([18O])([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[15N]1[14CH]c1ccccc1F,CC1OC(O)(Cc2ccc(N3Cc4ccccc4C3=O)cc2)N1Cc1ccccc1
98034,6.0,C[15C]1[17O][17C]([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[18O][15N]1[14CH]c1ccccc1F,CC1OC(Cc2ccc(N3Cc4ccccc4C3=O)cc2)ON1Cc1ccccc1
98031,6.0,C[15C]([15N][14CH]c1ccccc1F)[17O][17C][16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)OCCc1ccc(N2Cc3ccccc3C2=O)cc1
97757,6.0,C[15C]([18O])[15N]([14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(O)N(Cc1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1
97721,6.0,C[15C]([15N][14CH]c1ccccc1F)[18O][16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)O[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1
97716,6.0,C[15C]([18O])[15N]([14CH]c1ccccc1F)[17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(O)N(Cc1ccccc1)C(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1
97680,6.0,C[15C]([18O][17C]=[17O])[15N]([14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(OC=O)N(Cc1ccccc1)Cc1ccc(N2Cc3ccccc3C2=O)cc1
2044408,6.0,C[15C][17O][17C]1([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[18O][15N][14C@@H]1c1ccccc1F,CCOC1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)ON[C@@H]1c1ccccc1
1015021,6.0,C[15C](=[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O][15N][14CH]c1ccccc1F,CC(=Cc1ccc(N2Cc3ccccc3C2=O)cc1)C(O)ONCc1ccccc1
1015050,6.0,C[15C](=[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])([18O])[15N][14CH]c1ccccc1F,CC(=Cc1ccc(N2Cc3ccccc3C2=O)cc1)C(O)(O)NCc1ccccc1
1053206,6.0,C[15C][16C@@H]([17C][18O][17O][15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@@H](COON=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053120,6.0,C[15C][16C@H]([17O][17C]([18O])[15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](OC(O)N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
1053112,6.0,C[15C][16C@H]([17O][17C][18O][15N]=[14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](OCON=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1
