rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
94878,[13C].[14C][15N][16C][17C][17O].[15C].[18O],[14C][15N][16C][17C][17O],CNCCO,0.3133322219616015,0.9150320651246326
94883,[13C].[14C][15N][16C][17C]([17O])[18O].[15C],[14C][15N][16C][17C]([17O])[18O],CNCC(O)O,0.29712952978177115,0.9039828325309616
94884,[13C].[14C][15N][16C][17C]1[17O][18O]1.[15C],[14C][15N][16C][17C]1[17O][18O]1,CNCC1OO1,0.21206739806314895,0.9411129618635952
94885,[13C].[14C][15N]1[16C][17C]([17O])[18O]1.[15C],[14C][15N]1[16C][17C]([17O])[18O]1,CN1CC(O)O1,0.26302222226461913,0.9013096446702309
94889,[13C].[14C][15N][16C][17C]=[17O].[15C].[18O],[14C][15N][16C][17C]=[17O],CNCC=O,0.3964861229547309,0.7808501989678708
94890,[13C].[14C][15N]([18O])[16C][17C]=[17O].[15C],[14C][15N]([18O])[16C][17C]=[17O],CN(O)CC=O,0.24669137645259898,0.8373995811846172
94891,[13C].[14C][15N][16C][17C](=[17O])[18O].[15C],[14C][15N][16C][17C](=[17O])[18O],CNCC(=O)O,0.1664696513415146,0.8575563561749874
94892,[13C].[14C][15N]1[16C][17C](=[17O])[18O]1.[15C],[14C][15N]1[16C][17C](=[17O])[18O]1,CN1CC(=O)O1,0.18864283937383838,0.87988131430756
94899,[13C].[14C][15N]1[16C][17C]1[17O].[15C].[18O],[14C][15N]1[16C][17C]1[17O],CN1CC1O,0.2856048357049152,0.8577226948480834
94901,[13C].[14C][15N]1[16C][17C]1([17O])[18O].[15C],[14C][15N]1[16C][17C]1([17O])[18O],CN1CC1(O)O,0.4664759596236496,0.8177044902846825
94902,[13C].[14C][15N]1[16C][17C]12[17O][18O]2.[15C],[14C][15N]1[16C][17C]12[17O][18O]2,CN1CC12OO2,0.36674137914929844,0.7785376492688482
94903,[13C].[14C][15N]1[16C][17C]1=[17O].[15C].[18O],[14C][15N]1[16C][17C]1=[17O],CN1CC1=O,0.27243007747891723,0.7676675641587036
95035,[13C].[14C][15N][17O][17C]=[16C].[15C].[18O],[14C][15N][17O][17C]=[16C],CNOC=C,0.16161854577860613,0.9167811788436311
95040,[13C].[14C][15N][17O][17C](=[16C])[18O].[15C],[14C][15N][17O][17C](=[16C])[18O],CNOC(=C)O,0.20855178119669085,0.8645864765569554
95041,[13C].[14C][15N]1[17O][17C](=[16C])[18O]1.[15C],[14C][15N]1[17O][17C](=[16C])[18O]1,CN1OC(=C)O1,0.3631122095211328,0.9769929303121959
95057,[13C].[14C][15N][17C](=[16C])[17O].[15C].[18O],[14C][15N][17C](=[16C])[17O],CNC(=C)O,0.32410976978929856,0.7225820832754363
95469,[13C].[14C][15N]([16C])[17C](=[17O])[18O][15C],[14C][15N]([16C])[17C](=[17O])[18O][15C],CN(C)C(=O)OC,0.27186380452341324,0.7542930801819873
95540,[13C].[14C][15N][17O][17C]([16C])[18O][15C],[14C][15N][17O][17C]([16C])[18O][15C],CNOC(C)OC,0.3424198177344925,0.8550126929662585
95549,[13C].[14C][15N][17C]([16C])[18O][15C].[17O],[14C][15N][17C]([16C])[18O][15C],CNC(C)OC,0.30243640940193023,0.8144404319067581
95555,[13C].[14C][15N][17C]([16C])([17O])[18O][15C],[14C][15N][17C]([16C])([17O])[18O][15C],CNC(C)(O)OC,0.6645594819067718,0.7644032620798733
95556,[13C].[14C][15N]1[17O][17C]1([16C])[18O][15C],[14C][15N]1[17O][17C]1([16C])[18O][15C],CN1OC1(C)OC,0.33017167627554517,0.8868333855563388
95558,[13C].[14C][15N]([18O][15C])[17C]([16C])=[17O],[14C][15N]([18O][15C])[17C]([16C])=[17O],CN(OC)C(C)=O,0.3896794662090935,0.6950265590581309
95574,[13C].[14C][15N][17C](=[17O])[16C][18O][15C],[14C][15N][17C](=[17O])[16C][18O][15C],CNC(=O)COC,0.1282262537580995,0.8932761841523548
95595,[13C].[14C][15N][17C]1([18O][15C])[16C][17O]1,[14C][15N][17C]1([18O][15C])[16C][17O]1,CNC1(OC)CO1,0.5316703361521655,0.6634604399884111
95624,[13C].[14C][15N][16C][17C][18O][15C].[17O],[14C][15N][16C][17C][18O][15C],CNCCOC,0.11516834817269533,0.9476721418397667
95631,[13C].[14C][15N]1[16C][17C]([18O][15C])[17O]1,[14C][15N]1[16C][17C]([18O][15C])[17O]1,CN1CC(OC)O1,0.16479168441694778,0.9426613480304847
95633,[13C].[14C][15N]([16C][17C]=[17O])[18O][15C],[14C][15N]([16C][17C]=[17O])[18O][15C],CN(CC=O)OC,0.3177999173822605,0.7486705000518036
95634,[13C].[14C][15N][16C][17C](=[17O])[18O][15C],[14C][15N][16C][17C](=[17O])[18O][15C],CNCC(=O)OC,0.12782556376864973,0.8992092915295959
95640,[13C].[14C][15N]1[16C][17C]1([17O])[18O][15C],[14C][15N]1[16C][17C]1([17O])[18O][15C],CN1CC1(O)OC,0.32628769865359036,0.9223006784970859
95706,[13C].[14C][15N][17O][17C](=[16C])[18O][15C],[14C][15N][17O][17C](=[16C])[18O][15C],CNOC(=C)OC,0.23956318477098942,0.834175521179909
96296,[13C].[14C][15N][16C][17C]([18O])[17O][15C],[14C][15N][16C][17C]([18O])[17O][15C],CNCC(O)OC,0.3355506028592744,0.7404096353495104
96628,[13C].[14C][15N][17C]1([16C])[17O][15C][18O]1,[14C][15N][17C]1([16C])[17O][15C][18O]1,CNC1(C)OCO1,0.40205851304229157,0.9054470000689323
96660,[13C].[14C][15N][16C][17C]1[17O][15C][18O]1,[14C][15N][16C][17C]1[17O][15C][18O]1,CNCC1OCO1,0.2005094404443754,0.9676629325717846
97160,[13C].[14C][15N]([15C])[17C](=[17O])[18O][16C],[14C][15N]([15C])[17C](=[17O])[18O][16C],CN(C)C(=O)OC,0.28085430422007057,0.7456722805940269
97239,[13C].[14C][15N]([15C])[16C].[17O]=[17C][18O],[14C][15N]([15C])[16C],CN(C)C,0.5504172027620625,0.5603407613877943
97248,[13C].[14C][15N]([15C])[16C][18O][17C]=[17O],[14C][15N]([15C])[16C][18O][17C]=[17O],CN(C)COC=O,0.3535418457964265,0.967801552924759
97290,[13C].[14C][15N]([15C])[17O][17C][16C].[18O],[14C][15N]([15C])[17O][17C][16C],CN(C)OCC,0.24864803785448064,0.8570030621484165
97293,[13C].[14C][15N]([15C])[18O][17C]([16C])[17O],[14C][15N]([15C])[18O][17C]([16C])[17O],CN(C)OC(C)O,0.3052760399572739,0.837570703658449
97300,[13C].[14C][15N]([15C])[18O][17C]([16C])=[17O],[14C][15N]([15C])[18O][17C]([16C])=[17O],CN(C)OC(C)=O,0.33364493711455745,0.9214992555107593
97307,[13C].[14C][15N]([15C])[17C]([16C])[17O].[18O],[14C][15N]([15C])[17C]([16C])[17O],CN(C)C(C)O,0.5681511322149936,0.9933339666555774
