rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
94531,[13C].[14C][15N][16C][18O].[15C].[17C]=[17O],[14C][15N][16C][18O],CNCO,-0.8444,61.084,2.0,2.0,32.26,1.0,1.0,0.0,0.3871820287600763
94533,[13C].[14C][15N][16C][18O][17C]=[17O].[15C],[14C][15N][16C][18O][17C]=[17O],CNCOC=O,-0.6637000000000002,89.094,1.0,3.0,38.33,3.0,0.6666666666666666,0.0,0.28309691476401005
94541,[13C].[14C][15N]1[16C][18O][17C]1=[17O].[15C],[14C][15N]1[16C][18O][17C]1=[17O],CN1COC1=O,0.025900000000000034,87.07799999999999,0.0,2.0,29.54,0.0,0.6666666666666666,1.0,0.4167186333363559
94563,[13C].[14C][15N][16C][17O][17C][18O].[15C],[14C][15N][16C][17O][17C][18O],CNCOCO,-0.8703000000000001,91.11,2.0,3.0,41.489999999999995,3.0,1.0,0.0,0.35020886032008564
94671,[13C].[14C][15N][18O][17O][17C][16C].[15C],[14C][15N][18O][17O][17C][16C],CNOOCC,0.08889999999999976,91.11,1.0,3.0,30.49,3.0,1.0,0.0,0.3031116109632886
94673,[13C].[14C][15N][17O][17C][16C].[15C].[18O],[14C][15N][17O][17C][16C],CNOCC,0.15729999999999983,75.111,1.0,2.0,21.259999999999998,2.0,1.0,0.0,0.47184949182907915
94674,[13C].[14C][15N]([18O])[17O][17C][16C].[15C],[14C][15N]([18O])[17O][17C][16C],CN(O)OCC,0.2589000000000001,91.11000000000001,1.0,3.0,32.7,2.0,1.0,0.0,0.4945981235661086
94677,[13C].[14C][15N][18O][17C]([16C])[17O].[15C],[14C][15N][18O][17C]([16C])[17O],CNOC(C)O,-0.5243,91.11,2.0,3.0,41.489999999999995,2.0,1.0,0.0,0.35454788959874867
94679,[13C].[14C][15N]1[17O][17C]([16C])[18O]1.[15C],[14C][15N]1[17O][17C]([16C])[18O]1,CN1OC(C)O1,0.1409999999999999,89.09400000000001,0.0,3.0,21.700000000000003,0.0,1.0,1.0,0.4210960841520837
94686,[13C].[14C][15N][18O][17C]([16C])=[17O].[15C],[14C][15N][18O][17C]([16C])=[17O],CNOC(C)=O,-0.31610000000000005,89.094,1.0,3.0,38.33,1.0,0.6666666666666666,0.0,0.447439875756736
94687,[13C].[14C][15N][17C][16C].[15C].[17O].[18O],[14C][15N][17C][16C],CNCC,0.22569999999999996,59.111999999999995,1.0,1.0,12.03,1.0,1.0,0.0,0.45552455362260735
94701,[13C].[14C][15N][17C]([16C])[17O].[15C].[18O],[14C][15N][17C]([16C])[17O],CNC(C)O,-0.45590000000000014,75.11099999999999,2.0,2.0,32.26,1.0,1.0,0.0,0.4134134526607914
94702,[13C].[14C][15N][17C]([16C])[17O][18O].[15C],[14C][15N][17C]([16C])[17O][18O],CNC(C)OO,0.04140000000000005,91.10999999999999,2.0,3.0,41.489999999999995,2.0,1.0,0.0,0.28625112573068134
94703,[13C].[14C][15N]([18O])[17C]([16C])[17O].[15C],[14C][15N]([18O])[17C]([16C])[17O],CN(O)C(C)O,-0.3543,91.11,2.0,3.0,43.7,1.0,1.0,0.0,0.3420729241786571
94705,[13C].[14C][15N]1[17O][17C]1[16C].[15C].[18O],[14C][15N]1[17O][17C]1[16C],CN1OC1C,0.20939999999999992,73.09500000000001,0.0,2.0,15.54,0.0,1.0,1.0,0.38076288128544306
94706,[13C].[14C][15N][17C]([16C])([17O])[18O].[15C],[14C][15N][17C]([16C])([17O])[18O],CNC(C)(O)O,-1.1359000000000004,91.10999999999999,3.0,3.0,52.489999999999995,1.0,1.0,0.0,0.357600277083856
94707,[13C].[14C][15N][17C]1([16C])[17O][18O]1.[15C],[14C][15N][17C]1([16C])[17O][18O]1,CNC1(C)OO1,-0.15870000000000006,89.094,1.0,3.0,37.089999999999996,1.0,1.0,1.0,0.35804950702203764
94708,[13C].[14C][15N]1[18O][17C]1([16C])[17O].[15C],[14C][15N]1[18O][17C]1([16C])[17O],CN1OC1(C)O,-0.4706000000000001,89.094,1.0,3.0,35.769999999999996,0.0,1.0,1.0,0.4073872194915292
94710,[13C].[14C][15N][17C]([16C])=[17O].[15C].[18O],[14C][15N][17C]([16C])=[17O],CNC(C)=O,-0.24770000000000003,73.095,1.0,1.0,29.1,0.0,0.6666666666666666,0.0,0.4207171469569102
94711,[13C].[14C][15N]([18O])[17C]([16C])=[17O].[15C],[14C][15N]([18O])[17C]([16C])=[17O],CN(O)C(C)=O,-0.1460999999999999,89.094,1.0,2.0,40.54,0.0,0.6666666666666666,0.0,0.33105589982732864
94715,[13C].[14C][15N]=[17C]([16C])[18O].[15C].[17O],[14C][15N]=[17C]([16C])[18O],CN=C(C)O,0.5926,73.09499999999998,1.0,1.0,32.59,0.0,0.6666666666666666,0.0,0.33015098633482826
94737,[13C].[14C][15N][18O][16C][17C]=[17O].[15C],[14C][15N][18O][16C][17C]=[17O],CNOCC=O,-0.6637000000000002,89.094,1.0,3.0,38.33,3.0,0.6666666666666666,0.0,0.28309691476401005
94752,[13C].[14C][15N][17C](=[17O])[16C][18O].[15C],[14C][15N][17C](=[17O])[16C][18O],CNC(=O)CO,-1.2753000000000003,89.094,2.0,2.0,49.33,1.0,0.6666666666666666,0.0,0.42031795209922
94753,[13C].[14C][15N]1[18O][16C][17C]1=[17O].[15C],[14C][15N]1[18O][16C][17C]1=[17O],CN1OCC1=O,-0.6100000000000001,87.078,0.0,2.0,29.54,0.0,0.6666666666666666,1.0,0.3941759704709724
94781,[13C].[14C][15N][18O][17C][16C][17O].[15C],[14C][15N][18O][17C][16C][17O],CNOCCO,-0.8703000000000001,91.11,2.0,3.0,41.489999999999995,3.0,1.0,0.0,0.35020886032008564
94782,[13C].[14C][15N][17O][16C][17C][18O].[15C],[14C][15N][17O][16C][17C][18O],CNOCCO,-0.8703000000000001,91.11,2.0,3.0,41.489999999999995,3.0,1.0,0.0,0.35020886032008564
94790,[13C].[14C][15N][18O][17C]1[16C][17O]1.[15C],[14C][15N][18O][17C]1[16C][17O]1,CNOC1CO1,-0.5063000000000002,89.09400000000001,1.0,3.0,33.79,2.0,1.0,1.0,0.3653175508134198
94797,[13C].[14C][15N][17C]([18O])[16C][17O].[15C],[14C][15N][17C]([18O])[16C][17O],CNC(O)CO,-1.4835000000000003,91.11,3.0,3.0,52.489999999999995,2.0,1.0,0.0,0.3630613016043667
94803,[13C].[14C][15N][17C]1[16C][17O]1.[15C].[18O],[14C][15N][17C]1[16C][17O]1,CNC1CO1,-0.4379000000000002,73.095,1.0,2.0,24.56,1.0,1.0,1.0,0.4255305790653378
94805,[13C].[14C][15N][17C]1([18O])[16C][17O]1.[15C],[14C][15N][17C]1([18O])[16C][17O]1,CNC1(O)CO1,-1.1179000000000003,89.09400000000001,2.0,3.0,44.79,1.0,1.0,1.0,0.31580679655345334
94806,[13C].[14C][15N]1[18O][17C]12[16C][17O]2.[15C],[14C][15N]1[18O][17C]12[16C][17O]2,CN1OC12CO2,-0.4526000000000001,87.078,0.0,3.0,28.07,0.0,1.0,2.0,0.37435820133168796
94864,[13C].[14C][15N][16C][17C].[15C].[17O].[18O],[14C][15N][16C][17C],CNCC,0.22569999999999996,59.111999999999995,1.0,1.0,12.03,1.0,1.0,0.0,0.45552455362260735
94872,[13C].[14C][15N][16C][17C][18O][17O].[15C],[14C][15N][16C][17C][18O][17O],CNCCOO,-0.30460000000000004,91.10999999999999,2.0,3.0,41.489999999999995,3.0,1.0,0.0,0.2843464716623157
94873,[13C].[14C][15N]1[16C][17C][18O]1.[15C].[17O],[14C][15N]1[16C][17C][18O]1,CN1CCO1,-0.13660000000000005,73.095,0.0,2.0,12.47,0.0,1.0,1.0,0.3955746367973036
94874,[13C].[14C][15N]([17O])[16C][17C][18O].[15C],[14C][15N]([17O])[16C][17C][18O],CN(O)CCO,-0.7003000000000001,91.11,2.0,3.0,43.7,2.0,1.0,0.0,0.4415220526520158
94878,[13C].[14C][15N][16C][17C][17O].[15C].[18O],[14C][15N][16C][17C][17O],CNCCO,-0.8019000000000001,75.11099999999999,2.0,2.0,32.26,2.0,1.0,0.0,0.4500277668317745
94883,[13C].[14C][15N][16C][17C]([17O])[18O].[15C],[14C][15N][16C][17C]([17O])[18O],CNCC(O)O,-1.4835000000000003,91.10999999999999,3.0,3.0,52.489999999999995,2.0,1.0,0.0,0.3630613016043667
94884,[13C].[14C][15N][16C][17C]1[17O][18O]1.[15C],[14C][15N][16C][17C]1[17O][18O]1,CNCC1OO1,-0.5063000000000002,89.094,1.0,3.0,37.089999999999996,2.0,1.0,1.0,0.3655753281006964
94885,[13C].[14C][15N]1[16C][17C]([17O])[18O]1.[15C],[14C][15N]1[16C][17C]([17O])[18O]1,CN1CC(O)O1,-0.8182,89.094,1.0,3.0,32.7,0.0,1.0,1.0,0.42068515654430944
94889,[13C].[14C][15N][16C][17C]=[17O].[15C].[18O],[14C][15N][16C][17C]=[17O],CNCC=O,-0.5953000000000002,73.095,1.0,2.0,29.1,2.0,0.6666666666666666,0.0,0.44231073590861575
94890,[13C].[14C][15N]([18O])[16C][17C]=[17O].[15C],[14C][15N]([18O])[16C][17C]=[17O],CN(O)CC=O,-0.4937,89.094,1.0,3.0,40.54,2.0,0.6666666666666666,0.0,0.36620731513909494
94891,[13C].[14C][15N][16C][17C](=[17O])[18O].[15C],[14C][15N][16C][17C](=[17O])[18O],CNCC(=O)O,-0.7096000000000002,89.09399999999998,2.0,2.0,49.33,2.0,0.6666666666666666,0.0,0.4695634757445805
94892,[13C].[14C][15N]1[16C][17C](=[17O])[18O]1.[15C],[14C][15N]1[16C][17C](=[17O])[18O]1,CN1CC(=O)O1,-0.6100000000000001,87.07799999999999,0.0,3.0,29.540000000000003,0.0,0.6666666666666666,1.0,0.3944613244486073
94899,[13C].[14C][15N]1[16C][17C]1[17O].[15C].[18O],[14C][15N]1[16C][17C]1[17O],CN1CC1O,-0.7498,73.095,1.0,2.0,23.240000000000002,0.0,1.0,1.0,0.3812423545517771
94901,[13C].[14C][15N]1[16C][17C]1([17O])[18O].[15C],[14C][15N]1[16C][17C]1([17O])[18O],CN1CC1(O)O,-1.4298,89.09399999999998,2.0,3.0,43.47,0.0,1.0,1.0,0.2822920813768742
94902,[13C].[14C][15N]1[16C][17C]12[17O][18O]2.[15C],[14C][15N]1[16C][17C]12[17O][18O]2,CN1CC12OO2,-0.4526000000000001,87.07799999999999,0.0,3.0,28.07,0.0,1.0,2.0,0.29560346013557975
94903,[13C].[14C][15N]1[16C][17C]1=[17O].[15C].[18O],[14C][15N]1[16C][17C]1=[17O],CN1CC1=O,-0.5416000000000001,71.079,0.0,1.0,20.08,0.0,0.6666666666666666,1.0,0.3510101823630625
95035,[13C].[14C][15N][17O][17C]=[16C].[15C].[18O],[14C][15N][17O][17C]=[16C],CNOC=C,0.2809,73.09500000000001,1.0,2.0,21.259999999999998,2.0,0.3333333333333333,0.0,0.3742256916011831
95040,[13C].[14C][15N][17O][17C](=[16C])[18O].[15C],[14C][15N][17O][17C](=[16C])[18O],CNOC(=C)O,0.16659999999999997,89.094,2.0,3.0,41.489999999999995,2.0,0.3333333333333333,0.0,0.3739409261701436
95041,[13C].[14C][15N]1[17O][17C](=[16C])[18O]1.[15C],[14C][15N]1[17O][17C](=[16C])[18O]1,CN1OC(=C)O1,0.2662,87.078,0.0,3.0,21.700000000000003,0.0,0.3333333333333333,1.0,0.4228775606025923
