rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
94883,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N][14CH]c2ccccc2F)[17C]([17O])[18O])cc1,O=C1c2ccccc2CN1c1ccc([C@@H](NCc2ccccc2)C(O)O)cc1,0.14162270535971988,0.9070159748586863
94889,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@H]([17C]=[17O])[15N][14CH]c2ccccc2F)cc1,O=C[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.09641421562959406,0.9746652296664051
2052191,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N][14C@H](c1ccccc1F)[17C](=[17O])[18O],CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)N[C@@H](C(=O)O)c1ccccc1,0.07447807666561039,0.9557183738028019
1048868,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N]=[14CH]c2ccccc2F)[17C](=[17O])[18O])cc1,O=C(O)[C@H](N=Cc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.08139159749528682,0.9687182410703243
8008778,4.0,C[15C]1[14C@@H](c2ccccc2F)[15N][17C]([17O])([18O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1[C@@H](c2ccccc2)NC(O)(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.08730592478231335,0.9572761560882542
8010683,4.0,C[15C]1([16C@@H]([17C]=[17O])c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[15N][14C@@H]1c1ccccc1F,CC1([C@@H](C=O)c2ccc(N3Cc4ccccc4C3=O)cc2)N[C@@H]1c1ccccc1,0.10275505333320646,0.9388361586411291
1005513,4.0,C[15C][16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N]([14CH]c1ccccc1F)[17C](=[17O])[18O],CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)N(Cc1ccccc1)C(=O)O,0.14698605426490788,0.9729529457745757
1017820,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@H]2[15N][14C@H](c3ccccc3F)[18O][17C]2=[17O])cc1,O=C1O[C@@H](c2ccccc2)N[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.11328130016813459,0.9789562180139357
4052260,4.0,C[15C][16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N][17C](=[17O])[18O])c1ccccc1F,CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](NC(=O)O)c1ccccc1,0.12144421648859334,0.9371276010549141
1034487,4.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1([18O])[15N][14C@H](c2ccccc2F)[17O]1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C1(O)N[C@H](c2ccccc2)O1,0.0908319876776369,0.9352729576490268
8008401,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N][17C](=[17O])[18O])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](NC(=O)O)c1ccccc1,0.12387497236884183,0.9504909948737176
8008433,4.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@H]([18O][17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC([C@H](N)c1ccccc1)[C@H](OC=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.19553216132675394,0.91715521932081
4053748,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[16C@@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.19811614750047282,0.8875589717421727
1006311,4.0,C[15C]([18O])[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N][14CH]c1ccccc1F,CC(O)[C@@H](C(=O)NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.1343920146620673,0.9369684816823496
1034468,4.0,C[15C][16C@@H]([17C][17O][14C@H]([15N])c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@@H](CO[C@H](N)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.18082565452155094,0.877978115523943
8009392,4.0,C[15C]([18O])([14C@H]([15N])c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(O)([C@H](N)c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.15964143427897642,0.9176160851226888
1006221,4.0,C[15C]([18O][17C]=[17O])[16C@H]([15N][14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(OC=O)[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.2261646513771317,0.8365143607274772
8009390,4.0,C[15C]1([14C@H]([15N])c2ccccc2F)[18O][17C]([17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1([C@H](N)c2ccccc2)OC(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.09931997183272595,0.9917709328001701
97709,4.0,C[15C]([15N][14CH]c1ccccc1F)[18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)OC(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.09450131415411252,0.9761543013682044
1006296,4.0,C[15C]([18O][15N][14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(ONCc1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.054719890144474106,0.9793775402961504
1006294,4.0,C[15C]1[18O][17C]([17O][15N][14CH]c2ccccc2F)[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1OC(ONCc2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.168602717264258,0.8777406181796522
1018710,4.0,C[15C][15N][14C@@H]([18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)c1ccccc1F,CCN[C@@H](OC(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.10434786511939058,0.9885827087088987
97410,4.0,C[15C][15N]([14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CCN(Cc1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.19471120732252523,0.8816700777557603
1034789,4.0,C[15C]1[18O][17C]([17O][14C@H]([15N])c2ccccc2F)[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1OC(O[C@H](N)c2ccccc2)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.17118091279053682,0.882472043049464
4043375,4.0,[15N][14C@H](c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O],N[C@H](c1ccccc1)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)O,0.0890433643936658,0.9796319609283765
97300,4.0,C[15C][15N]([14CH]c1ccccc1F)[18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCN(Cc1ccccc1)OC(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1,0.07762217438950131,0.9561525724758141
8010513,4.0,C[15C]1([16CH]c2ccc(N3Cc4c(F)cccc4C3=O)cc2)[15N][14C@@H]1c1ccccc1F,CC1(Cc2ccc(N3Cc4ccccc4C3=O)cc2)N[C@@H]1c1ccccc1,0.07263915789080586,0.9816808480554295
1014365,4.0,C[15C](=[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N][14CH]c1ccccc1F,CC(=Cc1ccc(N2Cc3ccccc3C2=O)cc1)NCc1ccccc1,0.1077312774253821,0.9628330107892713
95634,4.0,C[15C][18O][17C](=[17O])[16C@H]([15N][14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CCOC(=O)[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.23095888258532724,0.838939255932579
8008782,4.0,C[15C]1[14C@@H](c2ccccc2F)[15N][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1[C@@H](c2ccccc2)NC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.06855801828330486,0.9590749762013488
4054661,4.0,C[15C]([16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N])c1ccccc1F)[17C](=[17O])[18O],CC(C(=O)O)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,0.20213925837341082,0.9107778073467996
4043382,4.0,[15N][14C@H](c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,N[C@H](c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.0736501500076741,0.9662827027227332
4052231,4.0,C[15C][16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N][18O][17C]=[17O])c1ccccc1F,CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](NOC=O)c1ccccc1,0.15673176367953856,0.9304229562109864
1017725,4.0,[15N][14C@@H]([18O][17C]([17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)c1ccccc1F,N[C@@H](OC(O)Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.14350494033774822,0.9583021287218003
8008372,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N][18O][17C]=[17O])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](NOC=O)c1ccccc1,0.11579545854024925,0.9017204617118902
1022118,4.0,C[15C][16C@H]([15N][14C@@H]([18O][17C]=[17O])c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@H](N[C@@H](OC=O)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.12494205298483792,0.9619726441270817
1035260,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[17O][17C]([18O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)OC(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.0896424065627028,0.9820999122005061
8009222,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)([18O][17C]=[17O])[14C@H]([15N])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)(OC=O)[C@H](N)c1ccccc1,0.08987334556537735,0.9772980746642983
1006141,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[18O][17C](=[17O])[15N][14CH]c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)OC(=O)NCc1ccccc1,0.09590223155990771,0.9585088851022944
1048758,4.0,O=C1c2cccc(F)c2CN1c1ccc([16CH][17C](=[17O])[18O][15N]=[14CH]c2ccccc2F)cc1,O=C(Cc1ccc(N2Cc3ccccc3C2=O)cc1)ON=Cc1ccccc1,0.1038702686822322,0.9478875814888685
4043386,4.0,O=C1c2cccc(F)c2CN1c1ccc([16C@H]2[14C@@H](c3ccccc3F)[15N][18O][17C]2=[17O])cc1,O=C1ON[C@H](c2ccccc2)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.21664824162077537,0.892784873252083
4052783,4.0,C[15C]([18O][17C]=[17O])[16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N])c1ccccc1F,CC(OC=O)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,0.12374474081426233,0.9522241698248247
