,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
1400,13335,[13C].[14C].[16C][17O][17C]1[18O][15C]1[15N],[16C][17O][17C]1[18O][15C]1[15N],COC1OC1N,0.19411837984004018,0.9217292493772223
1500,14575,[13C].[14C].[15N]=[15C][17C]([17O])[18O].[16C],[15N]=[15C][17C]([17O])[18O],N=CC(O)O,0.3161272881969935,0.7698793441504533
1600,15954,[13C].[14C].[15C]=[17C][15N]=[16C][18O].[17O],[15C]=[17C][15N]=[16C][18O],C=CN=CO,0.06976870180746128,0.932262014664495
1700,17271,[13C].[14C].[15N]=[16C][17C]1=[15C][17O][18O]1,[15N]=[16C][17C]1=[15C][17O][18O]1,N=CC1=COO1,0.15682399643498368,0.8431760036080431
1800,20647,[13C].[14C].[15C][16C]1[18O][17C]2[17O][15N]12,[15C][16C]1[18O][17C]2[17O][15N]12,CC1OC2ON12,0.31633415539246024,0.8608206206719133
1900,21982,[13C].[14C].[17C][16C]1[15C][18O][17O][15N]1,[17C][16C]1[15C][18O][17O][15N]1,CC1COON1,0.4810174788868795,0.804209150987618
2000,23195,[13C].[14C].[17C][16C]1[17O][15C]1[18O][15N],[17C][16C]1[17O][15C]1[18O][15N],CC1OC1ON,0.20172042811354426,0.9047147636539504
2100,24294,[13C].[14C].[18O][17C]1[17O][15N]2[15C][16C]12,[18O][17C]1[17O][15N]2[15C][16C]12,OC1ON2CC12,0.2902858605395537,0.8553646269353012
2200,25887,[13C].[14C].[17C][18O][16C][15C]=[15N][17O],[17C][18O][16C][15C]=[15N][17O],COCC=NO,0.12817590241645693,0.9277809863373392
2300,27417,[13C].[14C].[15N][18O][17C]1([17O])[15C][16C]1,[15N][18O][17C]1([17O])[15C][16C]1,NOC1(O)CC1,0.41348879491591833,0.8323314334220733
2400,28697,[13C].[14C].[17C]1[18O][16C]2[15N][17O][15C]12,[17C]1[18O][16C]2[15N][17O][15C]12,C1OC2NOC12,,
2500,31237,[13C].[14C].[16C][15C]=[17C]([17O])[18O][15N],[16C][15C]=[17C]([17O])[18O][15N],CC=C(O)ON,0.3228837766149976,0.7017017687589439
2600,34456,[13C].[14C].[15C]1=[16C][15N][17O][18O]1.[17C],[15C]1=[16C][15N][17O][18O]1,C1=CNOO1,0.5009455252120623,0.5281129691780255
2700,37222,[13C].[14C].[18O]=[17C]1[15C]=[16C][17O][15N]1,[18O]=[17C]1[15C]=[16C][17O][15N]1,O=C1C=CON1,0.29093382477530844,0.7090661752252589
2800,41888,[13C].[14C][18O][15C].[15N].[16C]#[17C][17O],[14C][18O][15C],COC,0.25347211884350845,0.8648033414643628
2900,43100,[13C].[14C][18O][15C][15N][16C]=[17O].[17C],[14C][18O][15C][15N][16C]=[17O],COCNC=O,0.1503809897928308,0.9276883934014581
3000,44188,[13C].[14C][18O][17O][16C][17C].[15C]#[15N],[14C][18O][17O][16C][17C],COOCC,0.1499364770373153,0.949642988098431
3100,45251,[13C].[14C][18O][15N][17C]1([16C])[15C][17O]1,[14C][18O][15N][17C]1([16C])[15C][17O]1,CONC1(C)CO1,0.3540970384383944,0.8605239102025697
3200,46288,[13C].[14C][18O][17C]1[15C]2[15N][16C]1[17O]2,[14C][18O][17C]1[15C]2[15N][16C]1[17O]2,COC1C2NC1O2,0.268289004287359,0.9464206627582392
3300,47974,[13C].[14C][18O][15N]1[15C]=[17C][16C][17O]1,[14C][18O][15N]1[15C]=[17C][16C][17O]1,CON1C=CCO1,0.2812039569751657,0.8179591785513418
3400,50479,[13C].[14C][18O][17C][16C][15C][15N]=[17O],[14C][18O][17C][16C][15C][15N]=[17O],COCCCN=O,0.15050097128681772,0.9312956496944209
3500,52131,[13C].[14C][18O][15C]([16C])[17C][15N]=[17O],[14C][18O][15C]([16C])[17C][15N]=[17O],COC(C)CN=O,0.2947569222902138,0.8728352688186618
3600,55001,[13C].[14C][18O][15C]=[16C][15N]1[17C][17O]1,[14C][18O][15C]=[16C][15N]1[17C][17O]1,COC=CN1CO1,0.08651852359459959,0.9907775800406359
3700,62605,[13C].[14C][17O][17C]=[16C][15N]=[18O].[15C],[14C][17O][17C]=[16C][15N]=[18O],COC=CN=O,0.0798623535938393,0.9565220634603749
3800,63845,[13C].[14C][17O][16C][17C][18O][15N][15C],[14C][17O][16C][17C][18O][15N][15C],COCCONC,0.20846068165604373,0.84489270451503
3900,64855,[13C].[14C][17O][15N]=[15C].[17C]=[16C][18O],[14C][17O][15N]=[15C],CON=C,0.16619448391208236,0.9613128940961285
4000,66129,[13C].[14C][17O][18O][15C][17C]([16C])=[15N],[14C][17O][18O][15C][17C]([16C])=[15N],COOCC(C)=N,0.1964270096787191,0.8717123863743104
4100,67141,[13C].[14C][17O][17C]1[15C]([18O])[15N]1[16C],[14C][17O][17C]1[15C]([18O])[15N]1[16C],COC1C(O)N1C,0.380453480716734,0.7270145915111219
4200,68721,[13C].[14C][17O][15C]=[17C]1[15N]=[16C][18O]1,[14C][17O][15C]=[17C]1[15N]=[16C][18O]1,COC=C1N=CO1,0.10010989908502851,0.9084449597328327
4300,71236,[13C].[14C][17O][15C]([16C])[18O][17C].[15N],[14C][17O][15C]([16C])[18O][17C],COC(C)OC,0.3988288632306387,0.7435994718210758
4400,72938,[13C].[14C][17O][15N][18O][17C]1[15C][16C]1,[14C][17O][15N][18O][17C]1[15C][16C]1,CONOC1CC1,0.18887905785891118,0.9208071010010809
4500,76085,[13C].[14C][17O][17C][15N]1[16C]=[15C][18O]1,[14C][17O][17C][15N]1[16C]=[15C][18O]1,COCN1C=CO1,0.2694005090196068,0.8899982409278487
4600,79485,[13C].[15C][17O][14C][18O][16C][17C]#[15N],[15C][17O][14C][18O][16C][17C]#[15N],COCOCC#N,0.21469312756824083,0.8410066592004767
4700,80319,[13C].[15C][17C]([15N])[18O][14C][17O][16C],[15C][17C]([15N])[18O][14C][17O][16C],CC(N)OCOC,0.1580910356275564,0.9242827923442782
4800,81143,[13C].[14C]1[17O][15N]=[15C][17C][18O]1.[16C],[14C]1[17O][15N]=[15C][17C][18O]1,C1ON=CCO1,0.5332900344368081,0.5675900077510077
4900,82685,[13C].[14C]1[17O][15C][16C]=[15N][17C][18O]1,[14C]1[17O][15C][16C]=[15N][17C][18O]1,C1OCC=NCO1,0.49843907262420034,0.5948719108031001
5000,83770,[13C].[16C][15C]1[17C]2[18O][14C][17O][15N]12,[16C][15C]1[17C]2[18O][14C][17O][15N]12,CC1C2OCON12,0.2669822286862931,0.8383371190908372
5100,86620,[13C].[16C].[17C][15C][15N][17O][14C]=[18O],[17C][15C][15N][17O][14C]=[18O],CCNOC=O,0.22826321876245537,0.8689688006847847
5200,94434,[13C].[14C][15N][17C][17O][16C][18O].[15C],[14C][15N][17C][17O][16C][18O],CNCOCO,0.06473562674583408,0.9636627813426558
5300,95491,[13C].[14C][15N]1[16C][17O][17C]1[18O][15C],[14C][15N]1[16C][17O][17C]1[18O][15C],CN1COC1OC,0.3716549475230439,0.7394024596285873
5400,96439,[13C].[14C][15N]([16C]=[17C][18O])[17O][15C],[14C][15N]([16C]=[17C][18O])[17O][15C],CN(C=CO)OC,0.23499965470589132,0.8265638035888515
5500,97422,[13C].[14C][15N]([15C])[16C]([17C])[17O].[18O],[14C][15N]([15C])[16C]([17C])[17O],CN(C)C(C)O,0.5391904365257504,0.856994124884091
5600,98259,[13C].[14C][15N]1[16C][17C][18O][15C]1[17O],[14C][15N]1[16C][17C][18O][15C]1[17O],CN1CCOC1O,0.5461801476956542,0.575269812282266
5700,99295,[13C].[14C][15N][17O][17C]([15C])[16C][18O],[14C][15N][17O][17C]([15C])[16C][18O],CNOC(C)CO,0.3007137744984174,0.7979775423143398
5800,100211,[13C].[14C][15N]=[16C][17C]([17O])[15C]=[18O],[14C][15N]=[16C][17C]([17O])[15C]=[18O],CN=CC(O)C=O,0.29694474970708346,0.7601997925888998
5900,101194,[13C].[14C][15N]([15C][17C][18O])[17O][16C],[14C][15N]([15C][17C][18O])[17O][16C],CN(CCO)OC,0.22986834561150604,0.8627253565817341
6000,101962,[13C].[14C][15N]1[17O][15C]1[17C](=[16C])[18O],[14C][15N]1[17O][15C]1[17C](=[16C])[18O],CN1OC1C(=C)O,0.26724704771683416,0.8483267667380939
6100,103377,[13C].[14C][15N][17C]=[15C][17O].[16C].[18O],[14C][15N][17C]=[15C][17O],CNC=CO,0.2565302530228525,0.8640391006873536
6200,105719,[13C].[14C][15N][17C]1[18O][16C]1[15C].[17O],[14C][15N][17C]1[18O][16C]1[15C],CNC1OC1C,0.18512939266293013,0.9270667402403007
6300,107151,[13C].[14C][15N][17C][16C][15C]([17O])[18O],[14C][15N][17C][16C][15C]([17O])[18O],CNCCC(O)O,0.19940590625819243,0.9673310253042317
6400,108305,[13C].[14C][15N]1[17O][15C]1[16C]([17C])[18O],[14C][15N]1[17O][15C]1[16C]([17C])[18O],CN1OC1C(C)O,0.38873688295608094,0.8844195721096889
6500,109716,[13C].[14C][15N]1[18O][15C]2[16C][17C]21.[17O],[14C][15N]1[18O][15C]2[16C][17C]21,CN1OC2CC21,0.30163789454657064,0.8340926637475768
6600,111606,[13C].[14C][15N]1[16C][15C]=[17C][18O][17O]1,[14C][15N]1[16C][15C]=[17C][18O][17O]1,CN1CC=COO1,0.37567356646905903,0.7197477943684181
6700,115102,[13C].[14C][15N]=[17C]1[15C]=[16C][18O][17O]1,[14C][15N]=[17C]1[15C]=[16C][18O][17O]1,CN=C1C=COO1,0.21142087900010348,0.799952945409537
6800,118252,[13C].[15C][17O][17C]1[18O][14C][15N]1[16C],[15C][17O][17C]1[18O][14C][15N]1[16C],COC1OCN1C,0.33816464048710104,0.8318871899641708
6900,118947,[13C].[16C].[17C][18O][14C][15N]1[15C][17O]1,[17C][18O][14C][15N]1[15C][17O]1,COCN1CO1,0.23103268136527244,0.9103231861582493
7000,119600,[13C].[15C][17C]1[17O][16C]1[15N]1[14C][18O]1,[15C][17C]1[17O][16C]1[15N]1[14C][18O]1,CC1OC1N1CO1,0.19744384399916465,0.9575136298906177
7100,120326,[13C].[17O]=[16C][17C]1[15C][15N][14C][18O]1,[17O]=[16C][17C]1[15C][15N][14C][18O]1,O=CC1CNCO1,0.2407576508583589,0.8320722225150603
7200,121356,[13C].[16C].[17C]=[15C][15N]([17O])[14C][18O],[17C]=[15C][15N]([17O])[14C][18O],C=CN(O)CO,0.5216900420361111,0.6232565696215017
7300,122910,[13C].[16C][15C][15N]1[14C][18O][17O][17C]1,[16C][15C][15N]1[14C][18O][17O][17C]1,CCN1COOC1,0.29379014689548466,0.8750456714088723
7400,123956,[13C].[14C]1[15N][16C]([15C]2[17C][17O]2)[18O]1,[14C]1[15N][16C]([15C]2[17C][17O]2)[18O]1,C1NC(C2CO2)O1,0.2679885811894484,0.9348528070987472
7500,126209,[13C].[16C]=[15C][17C]1[15N][14C][18O][17O]1,[16C]=[15C][17C]1[15N][14C][18O][17O]1,C=CC1NCOO1,0.422356472565927,0.8568830677469124
7600,129361,[13C].[18O]=[14C][15N]=[17C]1[16C]=[15C][17O]1,[18O]=[14C][15N]=[17C]1[16C]=[15C][17O]1,O=CN=C1C=CO1,0.204168482755255,0.8051666108353308
7700,130650,[13C].[15C]=[18O].[16C]#[17C][15N][14C][17O],[16C]#[17C][15N][14C][17O],C#CNCO,0.24723641408444316,0.816962591087256
7800,131361,[13C].[14C]1[15N][15C][17O]1.[16C]=[17C]=[18O],[14C]1[15N][15C][17O]1,C1NCO1,0.5567872072823508,0.5692726931325127
7900,132144,[13C].[17O][14C][15N]1[16C]2[18O][15C][17C]21,[17O][14C][15N]1[16C]2[18O][15C][17C]21,OCN1C2OCC21,0.19310541855299984,0.8902166138065055
8000,132941,[13C].[16C][17O][14C][15N]=[15C][17C][18O],[16C][17O][14C][15N]=[15C][17C][18O],COCN=CCO,0.05005446450420668,0.9707334071591356
8100,134378,[13C].[15C][16C]1[17O][14C][15N]=[17C][18O]1,[15C][16C]1[17O][14C][15N]=[17C][18O]1,CC1OCN=CO1,0.37388935010479285,0.711454495324111
8200,135292,[13C].[14C]1[17O][16C]2[15C][15N]1[18O][17C]2,[14C]1[17O][16C]2[15C][15N]1[18O][17C]2,C1OC2CN1OC2,0.7460293055225397,0.8749746481325196
8300,136335,[13C].[17C][15C]1[16C][15N]([18O])[14C][17O]1,[17C][15C]1[16C][15N]([18O])[14C][17O]1,CC1CN(O)CO1,0.27177677210663087,0.8050478827629639
8400,138240,[13C].[17O][14C][15N]1[15C]=[16C][17C]1.[18O],[17O][14C][15N]1[15C]=[16C][17C]1,OCN1C=CC1,0.23416113082319676,0.8839952605292102
8500,140275,[13C].[15C]1[18O][14C]2[17O][17C]=[16C][15N]12,[15C]1[18O][14C]2[17O][17C]=[16C][15N]12,C1OC2OC=CN12,0.3352333862170415,0.7381260365640738
8600,141004,[13C].[15C]=[17C][15N]1[18O][14C]1[17O].[16C],[15C]=[17C][15N]1[18O][14C]1[17O],C=CN1OC1O,0.2261591145904895,0.8754463804455864
8700,142064,[13C].[17C]1[18O][14C]2[17O][15C]3[16C]1[15N]23,[17C]1[18O][14C]2[17O][15C]3[16C]1[15N]23,C1OC2OC3C1N23,0.5518945944554672,0.7482065720738917
8800,143468,[13C].[17O][14C]1[18O][15N]1[17C]1[15C]=[16C]1,[17O][14C]1[18O][15N]1[17C]1[15C]=[16C]1,OC1ON1C1C=C1,0.20794596753331382,0.946225769789785
8900,146759,[13C].[17O]=[14C][15N]1[17C]=[15C][16C]1[18O],[17O]=[14C][15N]1[17C]=[15C][16C]1[18O],O=CN1C=CC1O,0.36466975947320673,0.7039325230312211
9000,149802,[13C].[14C]=[15N][17O][15C]=[18O].[16C]=[17C],[14C]=[15N][17O][15C]=[18O],C=NOC=O,0.3070349305723781,0.7687354520188245
9100,150798,[13C].[14C]=[15N][17C]1([17O][16C])[15C][18O]1,[14C]=[15N][17C]1([17O][16C])[15C][18O]1,C=NC1(OC)CO1,0.38575817667554346,0.8084054681178804
9200,151922,[13C].[14C]=[15N][16C]1[17O][17C](=[15C])[18O]1,[14C]=[15N][16C]1[17O][17C](=[15C])[18O]1,C=NC1OC(=C)O1,0.33706742584976646,0.8889485587359839
9300,153840,[13C].[14C]=[15N][17C](=[18O])[16C]1[15C][17O]1,[14C]=[15N][17C](=[18O])[16C]1[15C][17O]1,C=NC(=O)C1CO1,0.23692236367839398,0.9155311070083181
9400,155407,[13C].[14C]=[15N][15C]1[16C][17O][18O][17C]1,[14C]=[15N][15C]1[16C][17O][18O][17C]1,C=NC1COOC1,0.22060688217228547,0.8567835277128556
9500,158751,[13C].[15C][18O][14C]=[15N][16C]=[17C][17O],[15C][18O][14C]=[15N][16C]=[17C][17O],COC=NC=CO,0.08791687477014609,0.9799001849086352
9600,159530,[13C].[17C][15C]1[17O][16C][15N]=[14C][18O]1,[17C][15C]1[17O][16C][15N]=[14C][18O]1,CC1OCN=CO1,0.3654592517457776,0.6988888836543127
9700,160723,[13C].[17O]=[15C][16C]1[17C][15N]=[14C][18O]1,[17O]=[15C][16C]1[17C][15N]=[14C][18O]1,O=CC1CN=CO1,0.2745093320316207,0.82112803782027
9800,163860,[13C].[15C].[16C][18O][17C][17O][14C]=[15N],[16C][18O][17C][17O][14C]=[15N],COCOC=N,0.13956191287781672,0.9048805037990583
9900,164654,[13C].[15C][17C][16C]1[17O][14C]=[15N][18O]1,[15C][17C][16C]1[17O][14C]=[15N][18O]1,CCC1OC=NO1,0.31073942502706914,0.876645326551408
10000,165558,[13C].[15C]#[17C].[17O][14C]=[15N][16C][18O],[17O][14C]=[15N][16C][18O],OC=NCO,0.15599920345432003,0.8957155960266213
10100,166822,[13C].[17C]=[15C][16C]([18O])[15N]=[14C][17O],[17C]=[15C][16C]([18O])[15N]=[14C][17O],C=CC(O)N=CO,0.223911841494181,0.8673170160095807
10200,176481,[13C].[14C][17C](=[18O])[16C][17O].[15C].[15N],[14C][17C](=[18O])[16C][17O],CC(=O)CO,0.2903346121183635,0.7577731260698722
10300,177475,[13C].[14C][17C](=[17O])[16C]([15N])[18O][15C],[14C][17C](=[17O])[16C]([15N])[18O][15C],CC(=O)C(N)OC,0.38517231561132526,0.7455495656239263
10400,178531,[13C].[14C][17C]=[15N][17O][15C][18O].[16C],[14C][17C]=[15N][17O][15C][18O],CC=NOCO,0.07512053972133352,0.993859440379987
10500,179387,[13C].[14C][17C][17O][16C]=[18O].[15C][15N],[14C][17C][17O][16C]=[18O],CCOC=O,0.35386750319426785,0.770472885835739
10600,180272,[13C].[14C][17C][16C][18O][15C][15N][17O],[14C][17C][16C][18O][15C][15N][17O],CCCOCNO,0.05476058204013067,0.9681292439857749
10700,181057,[13C].[14C][17C][18O][15C]([15N])[17O][16C],[14C][17C][18O][15C]([15N])[17O][16C],CCOC(N)OC,0.2846866005778872,0.8134133617449304
10800,182063,[13C].[14C][17C](=[16C][17O])[18O][15C]=[15N],[14C][17C](=[16C][17O])[18O][15C]=[15N],CC(=CO)OC=N,0.33697043011330186,0.7582080446656736
10900,183149,[13C].[14C][17C]([15C])=[15N][16C]([17O])[18O],[14C][17C]([15C])=[15N][16C]([17O])[18O],CC(C)=NC(O)O,0.2737156478480067,0.8890678716838472
11000,183978,[13C].[14C][17C]1[15C][18O][15N]2[17O][16C]12,[14C][17C]1[15C][18O][15N]2[17O][16C]12,CC1CON2OC12,0.5929537301326399,0.7700276485042676
11100,184678,[13C].[14C][17C]1[18O][15C]1[17O][16C][15N],[14C][17C]1[18O][15C]1[17O][16C][15N],CC1OC1OCN,0.2228249998393369,0.9577932690370501
11200,185457,[13C].[14C][17C]12[15C][15N]1[17O][16C]2.[18O],[14C][17C]12[15C][15N]1[17O][16C]2,CC12CN1OC2,0.5945455244082485,0.7438640398007135
11300,186540,[13C].[14C][17C]1[15C]=[15N][17O]1.[16C][18O],[14C][17C]1[15C]=[15N][17O]1,CC1C=NO1,0.35316601677378134,0.8178942778349285
11400,187728,[13C].[14C][17C]([16C])=[15C][18O][17O].[15N],[14C][17C]([16C])=[15C][18O][17O],CC(C)=COO,0.20651981752231893,0.8206045333239946
11500,189697,[13C].[14C][17C]([18O])[15N][16C]([15C])[17O],[14C][17C]([18O])[15N][16C]([15C])[17O],CC(O)NC(C)O,0.2997946396035171,0.8744912457315026
11600,191056,[13C].[14C][17C][15N][18O][16C][15C][17O],[14C][17C][15N][18O][16C][15C][17O],CCNOCCO,0.11135221625612074,0.9544116793028076
11700,192293,[13C].[14C][17C]([17O])[18O][15N]1[15C][16C]1,[14C][17C]([17O])[18O][15N]1[15C][16C]1,CC(O)ON1CC1,0.26089809166028965,0.9021750787970834
11800,193399,[13C].[14C][17C]12[16C][15C]([15N][18O]1)[17O]2,[14C][17C]12[16C][15C]([15N][18O]1)[17O]2,CC12CC(NO1)O2,0.5244813615961806,0.8565197320997209
11900,195173,[13C].[14C][17C]1([15N])[15C][16C]1[18O].[17O],[14C][17C]1([15N])[15C][16C]1[18O],CC1(N)CC1O,0.54660744282599,0.8702003951463891
12000,196486,[13C].[14C][17C]1[15C]([16C])[15N]1[17O].[18O],[14C][17C]1[15C]([16C])[15N]1[17O],CC1C(C)N1O,0.4717867111183313,0.6806199198198992
12100,199032,[13C].[14C][17C]([18O])[17O][15N][16C]=[15C],[14C][17C]([18O])[17O][15N][16C]=[15C],CC(O)ONC=C,0.19285585862746737,0.9012258989976318
12200,201894,[13C].[14C][17C]([15N])[15C]=[16C][17O].[18O],[14C][17C]([15N])[15C]=[16C][17O],CC(N)C=CO,0.24202922282276387,0.8713012843390034
12300,205401,[13C].[15C][17O][18O][14C][17C].[16C][15N],[15C][17O][18O][14C][17C],COOCC,0.12907792365232926,0.9710523127132606
12400,206145,[13C].[15C][15N][16C]1[17O][17C]1[14C][18O],[15C][15N][16C]1[17O][17C]1[14C][18O],CNC1OC1CO,0.18382205564161294,0.9441016371277241
12500,206885,[13C].[15C]=[15N][16C]1[18O][14C][17C]1[17O],[15C]=[15N][16C]1[18O][14C][17C]1[17O],C=NC1OCC1O,0.33919067675921044,0.7911048499820843
12600,207692,[13C].[15C][17C](=[16C])[14C][18O][15N]=[17O],[15C][17C](=[16C])[14C][18O][15N]=[17O],CC(=C)CON=O,0.1929522319969904,0.8816550580335684
12700,208547,[13C].[15N][15C]1[18O][14C][17C]1=[16C][17O],[15N][15C]1[18O][14C][17C]1=[16C][17O],NC1OCC1=CO,0.30529523373230955,0.751612946759038
12800,209644,[13C].[16C][17C]([14C][18O])=[15C][15N].[17O],[16C][17C]([14C][18O])=[15C][15N],CC(CO)=CN,0.41968455292773704,0.6879973286407223
12900,210987,[13C].[15N].[17O][15C]1[16C][17C][14C][18O]1,[17O][15C]1[16C][17C][14C][18O]1,OC1CCCO1,0.41837746262085285,0.7556557549953623
13000,212277,[13C].[16C][15C][17C](=[15N])[14C][18O].[17O],[16C][15C][17C](=[15N])[14C][18O],CCC(=N)CO,0.1853107197198166,0.8472912581311876
13100,213139,[13C].[17O][18O][14C][17C]12[16C][15C]1[15N]2,[17O][18O][14C][17C]12[16C][15C]1[15N]2,OOCC12CC1N2,0.2730202898881591,0.8684261200489116
13200,215410,[13C].[16C]=[15C][17C](=[17O])[14C][18O][15N],[16C]=[15C][17C](=[17O])[14C][18O][15N],C=CC(=O)CON,0.1260729067734744,0.8870482439092933
13300,217554,[13C].[16C]=[15N].[17O]=[15C][17C][14C]=[18O],[17O]=[15C][17C][14C]=[18O],O=CCC=O,0.0680230181312293,0.9471070396567866
13400,219023,[13C].[15C]=[16C][17O][17C](=[15N])[14C]=[18O],[15C]=[16C][17O][17C](=[15N])[14C]=[18O],C=COC(=N)C=O,0.2677282345969234,0.7754457601223507
13500,220424,[13C].[15C][18O][16C]([15N])[17O][14C][17C],[15C][18O][16C]([15N])[17O][14C][17C],COC(N)OCC,0.4285513971238852,0.7077357211284534
13600,221323,[13C].[15C][15N]=[16C][17C][14C][17O][18O],[15C][15N]=[16C][17C][14C][17O][18O],CN=CCCOO,0.2823312399702536,0.762472458248909
13700,222095,[13C].[15C]=[15N][16C]=[17C]1[14C][17O][18O]1,[15C]=[15N][16C]=[17C]1[14C][17O][18O]1,C=NC=C1COO1,0.18693994392728083,0.8855094918677142
13800,222991,[13C].[16C]#[15N].[17O][14C][17C]1[15C][18O]1,[17O][14C][17C]1[15C][18O]1,OCC1CO1,0.23102040785183495,0.9116375301482218
13900,223954,[13C].[16C].[18O][17C]1[14C][17O][15N]=[15C]1,[18O][17C]1[14C][17O][15N]=[15C]1,OC1CON=C1,0.5478986729819341,0.8026763966564111
14000,225264,[13C].[15C][16C][18O][15N]1[17C][14C][17O]1,[15C][16C][18O][15N]1[17C][14C][17O]1,CCON1CCO1,0.23854161624467002,0.8399073329631893
14100,226235,[13C].[18O][15C]1[17O][14C][17C]2[15N][16C]12,[18O][15C]1[17O][14C][17C]2[15N][16C]12,OC1OCC2NC12,0.4188572440017367,0.7178566260193608
14200,227465,[13C].[15N].[17O][14C][17C][15C][16C]=[18O],[17O][14C][17C][15C][16C]=[18O],OCCCC=O,0.12393931204712022,0.9563948695186321
14300,228770,[13C].[15N].[18O][16C]1[15C]=[17C][14C][17O]1,[18O][16C]1[15C]=[17C][14C][17O]1,OC1C=CCO1,0.568491808901044,0.7849339613974992
14400,231980,[13C].[15C].[16C][15N][17C]12[17O][14C]1[18O]2,[16C][15N][17C]12[17O][14C]1[18O]2,CNC12OC1O2,0.29533404763324317,0.7625776608259679
14500,232672,[13C].[16C]=[17C][14C]([17O])[18O][15C][15N],[16C]=[17C][14C]([17O])[18O][15C][15N],C=CC(O)OCN,0.2340173192841206,0.8905396307717183
14600,233360,[13C].[15N].[16C]=[17C]1[14C]2[17O][15C]1[18O]2,[16C]=[17C]1[14C]2[17O][15C]1[18O]2,C=C1C2OC1O2,0.4125465010472389,0.9880721203166496
14700,234371,[13C].[15C][16C]1[15N][17C]12[18O][14C]2[17O],[15C][16C]1[15N][17C]12[18O][14C]2[17O],CC1NC12OC2O,0.2624497996320832,0.9530074605720199
14800,235421,[13C].[16C][15C]1[17C]2[14C]([17O])[18O][15N]12,[16C][15C]1[17C]2[14C]([17O])[18O][15N]12,CC1C2C(O)ON12,0.3150727033027818,0.8704951802325473
14900,239349,[13C].[15N][17C]([14C]=[17O])[15C]=[18O].[16C],[15N][17C]([14C]=[17O])[15C]=[18O],NC(C=O)C=O,0.3167977413269882,0.7574287809282232
15000,243310,[13C].[15C].[15N][14C][17C]1[16C][17O]1.[18O],[15N][14C][17C]1[16C][17O]1,NCC1CO1,0.24689127694961344,0.8980501205056451
15100,244161,[13C].[14C]1[17C]2[16C][17O][15N]12.[15C]=[18O],[14C]1[17C]2[16C][17O][15N]12,C1C2CON12,0.4474631537796759,0.7901254737906496
15200,244948,[13C].[15C]=[17O].[16C]=[15N][14C][17C][18O],[16C]=[15N][14C][17C][18O],C=NCCO,0.18360385947409402,0.9057438818520124
15300,245634,[13C].[17O][16C][17C]1[14C][15N][15C][18O]1,[17O][16C][17C]1[14C][15N][15C][18O]1,OCC1CNCO1,0.39095061922030766,0.9153915392747696
15400,246376,[13C].[14C]1[17C][18O][15C]=[15N]1.[16C]=[17O],[14C]1[17C][18O][15C]=[15N]1,C1COC=N1,0.5228288004308483,0.5500193217478614
