,smiles,pmi_x,pmi_y
74,C=NC(O)O,0.33767116468134006,0.7314913858179602
75,C=NC1OO1,0.21512380059303193,0.8749477722269555
76,OC1N=CO1,0.33437966204146735,0.8302929223039505
77,C=NC(=O)O,0.33414251389008565,0.7096672270886598
78,O=C1N=CO1,0.24067060154059444,0.759329398465309
79,CCOO,0.12493099217830764,0.9296834037789327
80,CCON,0.22582272522929164,0.9250102926756135
81,CC(O)O,0.567421776782639,0.5914443844326286
82,CC1OO1,0.30475340792951855,0.8825824342701385
83,CC(O)ON,0.33108409039786835,0.7769945237121957
84,CC1ONO1,0.33523511146393226,0.8086830466557816
85,CC(=O)O,0.43562794488830936,0.6015874329975386
86,CC(=O)ON,0.26063823833303856,0.766488748851194
87,CCNO,0.21065125277275892,0.9673327245685771
88,CCN=O,0.16034588415565873,0.9550714991586644
89,CC(N)O,0.5294523968817213,0.6082213123290323
90,CC1NO1,0.3511394661422746,0.8728343713740312
91,CC(N)=O,0.4890111174588186,0.5679495980900265
92,CC(=O)NO,0.26662696333086766,0.7571452132355265
93,CC(N)(O)O,0.9643134769402525,0.97600240184785
94,CC1(N)OO1,0.585036467932879,0.7081754194495601
95,CC1(O)NO1,0.6024549918594431,0.7311006095650386
96,CC=NO,0.08540084467133607,0.9419726643618694
97,CC(=N)O,0.45415345294725457,0.5827620181268864
98,OCCO,0.3054081429676274,0.8197793354239036
99,C1COO1,0.5172089123259042,0.5867334253799161
100,OC1CO1,0.3418675576028809,0.8751220454907845
101,NOC1CO1,0.174256747408813,0.9572500241045082
102,O=CCO,0.10921983699182342,0.9308839355328158
103,NOCC=O,0.06939665585160486,0.9553930056322476
104,O=C1CO1,0.21730300733687094,0.8240038221488231
105,NCCO,0.13085824666608264,0.9275346150473984
106,NCCOO,0.2951560762471836,0.8387973861268984
107,C1CON1,0.5666172037086644,0.6018167970619646
108,OCCNO,0.19712502692983208,0.8967300029299672
109,NC1CO1,0.3182322105258329,0.8928339996152973
110,NC(O)CO,0.338553265995016,0.746655112438509
111,NC1(O)CO1,0.5758915242013588,0.7034638552132589
112,NC(=O)CO,0.33901980986103375,0.7071138156435512
113,N=CCO,0.14204298709278984,0.9391896058540977
114,O=CC=O,0.07822172723718494,0.9217782727752185
115,NCC=O,0.2891041420708178,0.7718915915905962
116,O=CCNO,0.27489882446800157,0.8564075877752069
117,O=CCN=O,0.16127256922570288,0.8636805383727683
118,NC(O)C=O,0.33492405394096797,0.743417610617388
119,O=CC1NO1,0.17347409029244676,0.9493120868182103
120,NC(=O)C=O,0.3197983000385443,0.6862516598096301
121,N=CC=O,0.09403559465314135,0.9059644054185919
122,O=CC=NO,0.05040448305708278,0.9501836857099971
123,N=C(O)C=O,0.26976645790809045,0.731967557293666
124,N#CC=O,0.07962475502602875,0.9203763288756812
125,O1C2OC12,0.28410383134149936,0.7853712173695222
126,NCC(O)O,0.4640973662645843,0.8055292968746506
127,NCC1OO1,0.341047131857673,0.8883365917356734
128,OC1CNO1,0.3312185819638452,0.8056738050656027
129,C1C2ON1O2,0.8886567513449963,0.9223853491244667
130,NC1OC1O,0.29105383087061093,0.8800566335763145
131,N1OC2OC12,0.41759322413375305,0.757328898630674
132,NC12OC1O2,0.5093645416284129,0.6621731947661799
133,N=CC(O)O,0.3372687549191052,0.7654017376653375
134,N=CC1OO1,0.20589242991170856,0.8915482330578657
135,OC1C=NO1,0.3368770842617003,0.8171810972735499
136,N=C1OC1O,0.33150597566411216,0.7671389502198704
137,N#CC(O)O,0.32694924730104197,0.7348147255655426
138,NCC(=O)O,0.3100586343386106,0.7179264730279606
139,O=C1CNO1,0.3290390972071519,0.7939165534653003
140,NC1OC1=O,0.3169885625048997,0.797769311390182
141,N=CC(=O)O,0.3169583440832521,0.683196049326913
142,O=C1C=NO1,0.26786051998823174,0.7321394800124547
143,N=c1oc1=O,0.2221056652930737,0.7778943347072999
144,N#CC(=O)O,0.2530585479280533,0.7510321258425531
145,ON1CC1,0.3456708793723354,0.8523286320316678
146,OON1CC1,0.2692654688484107,0.8802337144846286
147,OC1CN1,0.3425832347961149,0.883122370923702
148,OOC1CN1,0.18217863378610216,0.9420609577618917
149,C1C2ON12,0.24890288548625725,0.8235997496892093
150,OC1CN1O,0.44215978830902,0.7372380218277186
151,O=C1CN1,0.23019833071945192,0.8078842758455832
152,O=C1CN1O,0.2424639716522321,0.7857348687361418
153,OC1(O)CN1,0.5932408254661324,0.7382494350174386
154,C1NC12OO2,0.3750792807651408,0.9811199373146512
155,OC12CN1O2,0.5169886274351686,0.591568641723401
156,OC1=NC1,0.18586507256234372,0.8566852950074113
157,OC12NC1O2,0.5141185805172983,0.6365976586038025
158,O=C1NC1O,0.3115961407804878,0.7926937348485492
159,O=c1cn1,0.18533769552284846,0.8146623044844232
160,OC1(O)C=N1,0.5367512912598593,0.700473173844311
161,C=COO,0.2164895443439549,0.8639555866580487
162,C=CON,0.1390088735886216,0.970040492780074
163,C=C(O)O,0.45381224206725596,0.5674425081052202
164,C=C1OO1,0.19652562535901077,0.8034743746458822
165,C=C(O)ON,0.3604666767397846,0.7577566301023643
166,C=CNO,0.09679389727900801,0.9105387669875186
167,C=C(N)O,0.4742995493684624,0.5658802457532822
168,OC=CO,0.08313201802374891,0.9172397790470779
169,OC1=CO1,0.18239984537891565,0.8321555115680255
170,O=C=CO,0.10880034414631347,0.9162966247711616
171,NC=CO,0.08718538237618853,0.9238198198623495
172,O=C=C=O,0.007798796754564633,0.9926056719502117
173,NC=C=O,0.10631528214966143,0.9293759848884914
174,O=C=CNO,0.19725903524700153,0.8505143598423045
175,NC(O)=C=O,0.29643348481431936,0.7150602929133877
176,N=C=C=O,0.01871843222577847,0.993096772351472
177,o1c2oc1=2,0.19506321683476974,0.8049367831652539
178,NC=C(O)O,0.30934992099198794,0.7035898838659702
179,NC=C1OO1,0.14308285908612803,0.875826817204731
180,Oc1c[nH]o1,0.22934865818761804,0.7776882193094952
181,NC1=C(O)O1,0.2531528206691687,0.7630964953980687
182,N=C=C(O)O,0.3170328546539994,0.7073909759900385
183,COCOC,0.10960998804168326,0.9350025123665451
184,CNOCOC,0.12032495190147949,0.9371454618960272
185,COCOCN,0.13652834577074502,0.9258589476462018
186,CNC(O)OC,0.41531842453748413,0.8009689063258603
187,CNC(=O)OC,0.17093082034106044,0.8518198422086181
188,C=NC(=O)OC,0.2794032090244891,0.7351176091548692
189,CCOC,0.3326590998965076,0.8199749919131322
190,CCOOC,0.1794950566257211,0.9635018803828758
191,COC(C)O,0.36964459765520874,0.7673569270184514
192,COC(C)ON,0.4028533013393273,0.7281775755785135
193,COC(C)=O,0.27994749514542944,0.7583035201294186
194,CCNOC,0.10354596948174015,0.9753710039245513
195,COC(C)(N)O,0.591019031113237,0.9668813353167973
196,COCCO,0.10552024317926616,0.9373035616979459
197,COCC=O,0.1881724730122964,0.887471121883936
198,COCCN,0.10931855016299893,0.9430191722490565
199,COC1CO1,0.19130918516084666,0.9505656098606021
200,COC(O)CN,0.36271220413935074,0.826009524459424
201,COC(=O)CN,0.30232456066323216,0.7291275693984258
202,COC(=O)C=N,0.26965641040526095,0.743119875018016
203,CON1CC1,0.2276469174248153,0.8953112040331132
204,COON1CC1,0.1757559099665787,0.9345483955999602
205,COC1CN1,0.1888124475102816,0.9439646785239885
206,COC1CN1O,0.20109384024811885,0.9030421290408235
207,COOC1CN1,0.14652029020516674,0.9403773743546304
208,CON1CC1O,0.317704138654508,0.8402232759896197
209,COC1(O)CN1,0.41495356874278916,0.8343845882922908
210,COC1=NC1,0.1562953668601962,0.8907869672985251
211,C=COC,0.25545441902225435,0.7771507177726867
212,C=COOC,0.31650651963660714,0.868605282035231
213,C=C(O)OC,0.3307676970795043,0.7714144811952952
214,COC=CO,0.18025368535960445,0.8590131219455452
215,COC=C=O,0.07525251157632229,0.9684377618517798
216,COC1=CO1,0.1498372341688149,0.9326423778429273
217,C#COC,0.09536202668929869,0.9335277655702018
218,CN(C)OCO,0.3065543368418709,0.7828973747747111
219,CNCOCO,0.12947633090960675,0.9709282605502453
220,CCOCO,0.41775050226090343,0.6862356233972741
221,CCOCON,0.1396541216402677,0.9206196354994772
222,CC1OCO1,0.4750004249013935,0.8778734315395822
223,CCNOCO,0.11388364033850384,0.9672565873460857
224,CCN1OCO1,0.2198229183090768,0.8710574786528053
225,CC(N)OCO,0.2312037712046441,0.85984150583888
226,C1COCO1,0.557889808112484,0.5861984509844912
227,NCCOCO,0.11571016880462144,0.9438125856755664
228,C1COCON1,0.5317581752048418,0.5727611342063372
229,NCC1OCO1,0.22763775042089632,0.8552625777926884
230,OCON1CC1,0.28039836816574043,0.8093381968562979
231,OCOC1CN1,0.1324348630776958,0.9831480739319377
232,C1OC2CN2O1,0.4952550059678312,0.7215489724674568
233,C1OC2(CN2)O1,0.37178755201429375,0.9501928446705132
234,OCOC1=NC1,0.22954705609775938,0.9176734498858619
235,C=COCO,0.25285962925528693,0.9306765236178969
236,C=COCON,0.17433288749322942,0.8877001906109043
237,C=C1OCO1,0.2862441910738445,0.7802867242657403
238,C=CNOCO,0.18671610151087373,0.8855828718055666
239,C=C(N)OCO,0.32770273141761574,0.9278220805300031
240,C1=COCO1,0.5102483977859583,0.5307480022120293
241,NC=COCO,0.06365716559061438,0.9921641744435004
242,C#COCO,0.08215236427972807,0.9417790260691566
243,C1#COCO1,0.322898693559065,0.721450538015389
244,CN(C)OC=O,0.2782921751227841,0.7850698135453833
245,CNCOC=O,0.12133647942954455,0.9423397280467825
246,CN=COC=O,0.24678675362775981,0.7668906392865682
247,C=NCOC=O,0.24771280353550168,0.8216184661686029
248,CCOC=O,0.3423285119925767,0.7772942615862346
249,CCNOC=O,0.2164070916565214,0.8644859104060764
250,CC(N)OC=O,0.3152945114957862,0.911037536547975
251,CC=NOC=O,0.1578113126184107,0.8981428894657034
252,CC(=N)OC=O,0.24632054740697004,0.7681409996328102
253,NCCOC=O,0.22504703279780647,0.852244816448448
254,N=CCOC=O,0.3800873548072512,0.7174500166287606
255,O=CON1CC1,0.1835461377249712,0.9231766518634403
256,O=COC1CN1,0.17790553873779408,0.969831353212303
257,O=COC1=NC1,0.20582065238151337,0.8093398077397194
258,C=COC=O,0.27219866921972374,0.8464841719296948
259,C=CNOC=O,0.16858447789440167,0.9005505775691008
260,C=C(N)OC=O,0.4051138429221804,0.9360443674171383
261,C=C=NOC=O,0.1192157652248703,0.9488004974424207
262,NC=COC=O,0.10687979068745934,0.8984988099796453
263,N=C=COC=O,0.2343075393556321,0.8788543101264743
264,O=CON1C=C1,0.22194631849450824,0.8791269784416306
265,O=COC1=CN1,0.19703029244817716,0.8029697075660062
266,C#COC=O,0.21936803142437308,0.7806538054079605
267,C#CNOC=O,0.13677337573123274,0.9437234916543995
268,NC#COC=O,0.1403226860764739,0.8694764826045112
269,CN(C)C,0.5480186224893016,0.5926764179072274
270,CN(C)C=O,0.33127999390909846,0.706259546221038
271,CN(C)C(O)O,0.4415165760464352,0.6338036438464226
272,CN(C)C(=O)O,0.40131278923540076,0.6275134705548804
273,CN1COC1=O,0.4343332783732323,0.5977985179824385
274,CCONC,0.1579164693631706,0.9416577868440729
