,smiles,min_dist_all,natoms,drugbank_matches
318,C1=CON=1,8.0,4,0
319,OC=C=NO,8.0,5,0
320,C1=COON=1,9.0,5,0
321,O=C=C=O,6.0,4,0
322,NC=C=O,5.0,4,0
323,O=C=CNO,6.0,5,0
324,O=C=CN=O,7.0,5,0
325,NC(O)=C=O,6.0,5,0
326,O=C=C1NO1,7.0,5,0
327,N=C=C=O,6.0,4,0
328,O=C=C=NO,7.0,5,0
329,o1c2oc1=2,6.0,4,0
330,NC=C(O)O,5.0,5,0
331,NC=C1OO1,6.0,5,0
332,Oc1c[nH]o1,6.0,5,0
333,c1c2on1o2,7.0,5,0
334,NC1=C(O)O1,6.0,5,0
335,[nH]1oc2c1O2,7.0,5,0
336,N=C=C(O)O,6.0,5,0
337,N=C=C1OO1,7.0,5,0
338,OC1=C=NO1,7.0,5,0
339,ON1C=C1,7.0,4,0
340,OON1C=C1,10.0,5,0
341,OC1=CN1,7.0,4,0
342,OOC1=CN1,8.0,5,0
343,c1c2on1-2,8.0,4,0
344,OC1=CN1O,8.0,5,0
345,C1=C2OON12,9.0,5,0
346,[nH]1c2oc1=2,8.0,4,0
347,On1c2oc1=2,9.0,5,0
348,OC1=C(O)N1,8.0,5,0
349,N1c2ooc21,9.0,5,0
350,Oc1c2on1-2,9.0,5,0
351,OC1=C=N1,8.0,4,0
352,OOC1=C=N1,9.0,5,0
353,C#COO,7.0,4,0
354,C#CON,7.0,4,0
355,C#COON,9.0,5,0
356,C#CONO,9.0,5,0
357,C#CON=O,10.0,5,0
358,C#CNO,7.0,4,0
359,C#CNOO,10.0,5,0
360,C#CN=O,8.0,4,0
361,C#CN(O)O,10.0,5,0
362,C#Cn1oo1,11.0,5,0
363,OC#CO,7.0,4,0
364,c1ooc#1,8.0,4,0
365,NOC#CO,9.0,5,0
366,C1#CONO1,10.0,5,0
367,NC#CO,7.0,4,0
368,NC#COO,8.0,5,0
369,c1[nH]oc#1,8.0,4,0
370,OC#CNO,8.0,5,0
371,C1#COON1,9.0,5,0
372,On1c#co1,9.0,5,0
373,O=NC#CO,9.0,5,0
374,ON1C#C1,8.0,4,0
375,OON1C#C1,11.0,5,0
376,COCOC,6.0,5,519
377,CON(C)OC,8.0,6,0
378,COCNOC,8.0,6,0
379,COC(N)OC,8.0,6,0
380,COC=NOC,9.0,6,2
381,COC(=N)OC,9.0,6,0
382,CNOCOC,6.0,6,2
383,COCOCN,6.0,6,7
384,C=NOCOC,7.0,6,2
385,COCOC=N,7.0,6,0
386,COCOC#N,8.0,6,0
387,CON(C)C,7.0,5,7
388,COON(C)C,8.0,6,0
389,CNCOC,7.0,5,382
390,COCN(C)O,8.0,6,0
391,CNCOOC,8.0,6,0
392,CON(C)CO,8.0,6,0
393,CNC(O)OC,6.0,6,8
394,COC1ON1C,7.0,6,0
395,CON(C)C=O,7.0,6,2
396,CNC(=O)OC,5.0,6,277
397,CN=COC,8.0,5,35
398,CN=COOC,9.0,6,0
399,CN=C(O)OC,7.0,6,3
400,COCNCO,8.0,6,5
401,COCN1CO1,9.0,6,0
402,COCNC=O,7.0,6,70
403,C=NCOC,8.0,5,11
404,COCN=CO,9.0,6,0
405,COCN=C=O,8.0,6,0
406,CON1COC1,9.0,6,0
407,COC1NCO1,7.0,6,0
408,C=NCOOC,9.0,6,0
409,COC=NCO,9.0,6,0
410,COC1=NCO1,8.0,6,0
411,C=NC(O)OC,7.0,6,0
412,COC1N=CO1,8.0,6,0
413,COC=NC=O,8.0,6,2
414,C=NC(=O)OC,6.0,6,2
415,CCOC,5.0,4,3855
416,CCOOC,6.0,5,11
417,CCONOC,8.0,6,0
418,COC(C)O,4.0,5,588
419,COC(C)ON,6.0,6,3
420,COC(C)=O,3.0,5,1167
421,CCNOC,6.0,5,37
422,CCNOOC,7.0,6,0
423,CCN(O)OC,7.0,6,0
424,COC(C)N,7.0,5,569
425,COC(C)NO,8.0,6,0
426,COC(C)N=O,9.0,6,0
427,COOC(C)N,8.0,6,0
428,CONC(C)O,8.0,6,0
429,CON1OC1C,9.0,6,0
430,COC(C)(N)O,6.0,6,8
431,COC1(C)NO1,7.0,6,0
