rmat_tag,distance,SMILES
58300_S1,11.0,CCN1CCC=CC=C(C)C1
58400_S1,14.0,CCN(C)C1OCC=CC=C1C
58700_S1,11.0,CCN=CC=CC=C(C)CC=O
60500_S1,13.0,CCN1OC2(C)C(C)=CC=CC12
60600_S1,12.0,CCN1C2OC3C=CC=C(C)C321
61200_S1,9.0,CCNC1=C(OC)C(C)=CC=C1
61500_S1,9.0,CCN1OC12C1=C2C(C)=CC=C1
62100_S1,12.0,CCNC(C=CC=C(C)C)OO[13CH2]
62300_S1,8.0,CCNC1(O[13CH2])OC1C=CC=C(C)C
62400_S1,10.0,CCN1OC1(C=CC=C(C)C)CO[13CH2]
62900_S1,10.0,CCN=C(CC=CC=C(CO)C)O[13CH2]
63000_S1,11.0,C=CC=CC=C(C)COO[13CH2]
63100_S1,13.0,CCN(C#CC=CC=C(CO)C)O[13CH2]
63200_S1,11.0,CCNC(=CC=CC=C(C=O)C)O[13CH2]
63300_S1,13.0,CCN=C(O)C=CC=C(C)CO[13CH2]
63400_S1,13.0,CCN1C=C(C=CC=C(C)CO[13CH2])O1
63500_S1,13.0,CCN=CC1C=CC=C(C)C(O[13CH2])O1
64000_S1,11.0,CCNCC(=CC=CC(=C=O)O[13CH2])C
64200_S1,10.0,CCN1OC1C(=CC=CCCO[13CH2])C
64500_S1,10.0,CCNC(O[13CH2])C(=CC=CC1CO1)C
65100_S1,12.0,CC=CC=C(C)C(=NCC)O[13CH2]
65400_S1,9.0,[13CH2]OC1CC(C)=CC=CCO1
65700_S1,11.0,[13CH2]OC1C=CC=C(C)CC1
65800_S1,11.0,CCN=C1C=CC=C(C)CC1
66300_S1,14.0,CCNCC(=O)C(=CC=CCO[13CH2])C
66400_S1,14.0,CCN=CC(O[13CH2])C(=CC=CCO)C
66600_S1,11.0,CCNC1C=CC=C(C)C2(O[13CH2])OC12
66700_S1,10.0,CC=CC=C(C)C1N(CC)C1(O)O[13CH2]
67000_S1,13.0,CCN1C2=CC=CC=C(C)C21
67200_S1,14.0,CCN1C2C3(O[13CH2])C=CC=C(C)C21O3
68000_S1,13.0,CC=CC=C(C=CN(CC)O[13CH2])C
68300_S1,12.0,CCN1OC12C=CC=C(C)C=C2O[13CH2]
68700_S1,14.0,C=C(O[13CH2])C(=CC=CC(O)NCC)C
70100_S1,8.0,CCNC(O[13CH2])OC1C=CC=C(C)C1
70800_S1,6.0,[13CH2]OC1OC2C(C)=CC=CC12
70900_S1,10.0,C=C1C=CC=C(C)C1ONCC
71200_S1,10.0,CCNC=C1C=CC=C(C)C1O[13CH2]
71300_S1,11.0,C=C1C=CC=C(C)C1(O[13CH2])ONCC
71400_S1,10.0,CCN1OC2C=CC=C(C)C21
71600_S1,9.0,CCN1C(O)C2(O[13CH2])C=CC=C(C)C12
72100_S1,11.0,CCN1CC2(O)C=CC=C(C)C12O[13CH2]
72300_S1,8.0,CCN=C1C(C)=CC=CC1CO
72800_S1,9.0,CCNC1C=CC=C(C)C1C(=O)O[13CH2]
73000_S1,8.0,[13CH2]OC12C=CC=C(C)C1C2O
73200_S1,11.0,CCN=C(O[13CH2])C1(O)CC=CC=C1C
73300_S1,10.0,[13CH2]OOC12CC1C=CC=C2C
73600_S1,11.0,CCN(O)C12C=CC=C(C)C1(O[13CH2])C2
73800_S1,11.0,CCN1C(O)C12C(C)=CC=CC2O[13CH2]
73900_S1,10.0,CCN(O[13CH2])C12C(=O)C1C=CC=C2C
74600_S1,14.0,CCN=C=C1C(=O)C=CC=C1C
75700_S1,9.0,[13CH2]OC1=CC(C)=CC=C1
76300_S1,8.0,COC1=C(O[13CH2])C(C)=CC=C1
79300_S1,12.0,CCNC#CC=CC=C(C)C
79400_S1,10.0,CC1=CC=CC=CO[13CH2]OC1
79600_S1,12.0,CCNCC(=CC=CCO[13CH2]O)C
79800_S1,13.0,C#CC=CC=C(C)CN(CC)O[13CH2]O
80300_S1,12.0,CC=CC=C(C)CC(=NCC)O[13CH2]O
80600_S1,14.0,CCN1CC=CC=C(C)C(C)O[13CH2]O1
80700_S1,13.0,CCN=CC=CC=C(C)C1CO[13CH2]O1
80900_S1,13.0,CCNC1CC2(C=CC=C1C)O[13CH2]O2
81000_S1,14.0,CC=CC=C(C)C1(O[13CH2]O)CN1CC
81100_S1,14.0,CCN1O[13CH2]OC12C=CC=CC=C2C
81500_S1,12.0,CCNC12C=CC=C(C)C=C1O[13CH2]O2
81600_S1,14.0,CCN=C1C=CC=C(C)C(O[13CH2]O)=C1
82300_S1,10.0,O[13CH2]OC1C=CC=C(C)C1
82400_S1,10.0,CCN(CC1C=CC=C(C)C1)O[13CH2]O
82500_S1,9.0,CCNO[13CH2]OC=C1C=CC=C(C)C1
82700_S1,10.0,CC12C=CC=C(C)C1O[13CH2]O2
83000_S1,10.0,CCNC1(O[13CH2]O)C(C)=CC=CC1C
83400_S1,10.0,CCN1C2C=CC=C(C)C2C12O[13CH2]O2
83500_S1,9.0,CCNC12C=CC=C(C)C1C2O[13CH2]O
83600_S1,11.0,CCNC1C=CC=C(C)C12CO[13CH2]O2
83700_S1,11.0,CC1=CC=CC23CC12O[13CH2]O3
84200_S1,14.0,C=C1C(C)=CC=CC12O[13CH2]ON2CC
84700_S1,11.0,O[13CH2]OC1=CC(C)=CC=C1
88400_S1,12.0,CCN1CC(C)=CC=CC(O)C1
88600_S1,11.0,CCN=CC(=CC=CCC=O)C
89700_S1,14.0,CC=CC=C(C#CNCC)C
90100_S1,13.0,CCN(C)C1C=CC=C(C)C1=O
90600_S1,13.0,CCN=C1C=CC=C(C)C1(C)O
90700_S1,12.0,CCN1C2C=CC=C(C)C21C=O
90900_S1,14.0,CCNC=C1C(=O)C=CC=C1C
91200_S1,10.0,CCN(C=O)C1=CC(C)=CC=C1
91400_S1,9.0,CCN1CC2=C1C(C)=CC=C2
94500_S1,6.0,CCN([13CH2])CC=CC=C(C)C
95600_S1,9.0,CC1(O)C=CC=C(C)CO1
95700_S1,7.0,OC=CC=CC=C(CO)C
95900_S1,11.0,CCN([13CH2])C(O)C=CC=C(C=O)C
96100_S1,11.0,CCN([13CH2])OC1C=CC=C(C)CO1
96200_S1,7.0,O=CCC=CC=C(CO)C
97000_S1,10.0,CC=CC=C(C)C(=O)O
97900_S1,9.0,CCN([13CH2])C(=O)C(=CC=CC1CO1)C
98900_S1,8.0,CC=CC=C(C)CC1(N([13CH2])CC)OO1
99100_S1,10.0,CCC(=CC=CC(O)N([13CH2])CC)C
99300_S1,7.0,CCN([13CH2])OC1C=CC=C(C)CC1=O
99600_S1,10.0,CCN([13CH2])C1=C(O)C=CC=C(C)C1
99900_S1,7.0,CCN([13CH2])OC1C(=O)CC=CC=C1C
100200_S1,8.0,CCN([13CH2])C1C=CC=C(C)C(=O)C1=O
100500_S1,10.0,CCN([13CH2])C1C=CC=C(C)C(OO)C1
100700_S1,10.0,CC1=CC=CCOC12CO2
100800_S1,11.0,CCN([13CH2])C12C=CC=C(C)C(O)(C1)O2
101000_S1,11.0,O=C1C=CC=C(C)C(=O)C1
102800_S1,11.0,O=C1C=CC=C(C)C=C1
102900_S1,10.0,CCN([13CH2])C12C=CC=C(C)C=C1OO2
103400_S1,12.0,CCN([13CH2])C=C(O)C(=CC=CCO)C
104600_S1,13.0,C#CC(=CC=CC(O)ON([13CH2])CC)C
105400_S1,8.0,CCN([13CH2])COOC1C=CC=C(C)C1
105500_S1,5.0,CCN([13CH2])C1C=CC=C(C)C1
106200_S1,9.0,CCN([13CH2])COC1C(=O)C=CC=C1C
106700_S1,8.0,CCN([13CH2])COC1C=CC=C(C)C1O
107100_S1,9.0,CCN([13CH2])COC12OC1C=CC=C2C
109000_S1,9.0,CCN([13CH2])C1OC2(O)C=CC=C(C)C12
109300_S1,9.0,CCN([13CH2])C1C2C(C)=CC=CC21OO
109600_S1,8.0,CCN([13CH2])C12OC3C=CC=C(C)C31O2
110000_S1,10.0,CCN([13CH2])CC1(OO)CC=CC=C1C
113500_S1,5.0,OC1=CC=CC=C1C
114000_S1,4.0,O=C1OC2=C1C=CC=C2C
115200_S1,7.0,CCN([13CH2])C1=C(COO)C(C)=CC=C1
117600_S1,11.0,CCN(C)[13CH2]OOCC=CC=C(C)C
117900_S1,8.0,CCN1[13CH2]OC1=CC=CC=C(C)C
118100_S1,9.0,CCC=CC=C(C)CO[13CH2]N(O)CC
118300_S1,8.0,CCN[13CH2]OC1C=CC=C(C)COC1
118500_S1,12.0,CCN1C=C2C=CC=C(C)C(O[13CH2]1)O2
118600_S1,10.0,CCC=CC=C(C)C(=O)O[13CH2]NCC
118700_S1,7.0,CCN1CC(C)=CC=CCCO[13CH2]1
118800_S1,11.0,C=C1C=CC=C(C)CN(CC)[13CH2]OO1
119100_S1,12.0,C#CC=CC=C(C)C1(O)O[13CH2]N1CC
119400_S1,10.0,CCN[13CH2]OCCC(=CC=CC=O)C
119800_S1,10.0,CCN1[13CH2]OC2CC1C=CC=C2C
120000_S1,10.0,OC1C=CC=CC=C1C
121200_S1,10.0,CCN1[13CH2]OC2=C(O1)C(C)=CC=CC2
121400_S1,12.0,CCN1[13CH2]OC=C1C(=CC=CC=O)C
122200_S1,6.0,CCN1[13CH2]OC1C1C=CC=C(C)C1
122700_S1,10.0,CCN1C=C2C=CC=C(C)C2OO[13CH2]1
123000_S1,9.0,CCN1[13CH2]OOC2(C)C=CC=C(C)C12
123200_S1,7.0,CCN1[13CH2]OCC2C=CC=C(C)C21O
123900_S1,10.0,CC1(O)CC=CC=C1C
124000_S1,9.0,CCN1[13CH2]OC23C=CC=C(C)C24OC134
126200_S1,4.0,CCN[13CH2]OC(=O)C1=CC=CC=C1C
129900_S1,10.0,CCN[13CH2]OC(O)C=CC=C(C)C
130900_S1,8.0,CC=CC=C(C)CN(CC)[13CH2]O
131600_S1,8.0,CC=CC=C(C)CCO
131800_S1,10.0,OC1C=CC=C(C)CC1
132100_S1,7.0,CCN[13CH2]OC12CC=CC=C(C)C1O2
132400_S1,11.0,CC=CC=C(C)C(C)(O)O[13CH2]NCC
132600_S1,10.0,CCN1[13CH2]OC2C=CC=C(C)C1C2=O
133100_S1,10.0,CCN[13CH2]OCC=CC=C(C=CO)C
134500_S1,7.0,CC1=CC=CC2(CO2)C1
135100_S1,10.0,CCN1[13CH2]OC2(O)C(C)=CC=CC12
135900_S1,6.0,OC1C2C=CC=C(C)C12
136100_S1,10.0,CC12OC1C=CC=C2C
136500_S1,11.0,CCN([13CH2]O)C1(C)C(=O)C=CC=C1C
136900_S1,12.0,CCN(C=C1C(=O)C=CC=C1C)[13CH2]O
138500_S1,8.0,CC1=C(O)C=CC=C1C
149400_S1,10.0,CC=CC=C(C)COO
151400_S1,10.0,O=C1CC=CC=C(C)C1=O
153600_S1,8.0,CC1=CC=CC2=COOC21
153800_S1,7.0,O=CC1C=CC=C(C)C1O
155600_S1,8.0,OC=C1CC=CC=C1C
175800_S1,10.0,CCNOCC=CC=C(C)C
176500_S1,9.0,CCNC1([13CH2])OC1C=CC=C(C)C
177400_S1,12.0,CCN1OCC(C)=CC=CC(C[13CH2])O1
177800_S1,11.0,CCN1C(C=CC=C(C=O)C)C1([13CH2])O
178000_S1,11.0,CCNCC=CC=C(C)COOC[13CH2]
178100_S1,10.0,CCN=CC=CC=C(C)COC([13CH2])O
178200_S1,11.0,CCNOC(C=CC=C(CO)C)C[13CH2]
178400_S1,11.0,[13CH2]C=C(O)C=CC=C(CO)C
179000_S1,11.0,CCNC1([13CH2])OC1C=CC=C(C=O)C
179300_S1,10.0,CCN1CC(C)=CC=CCOC1([13CH2])O
179700_S1,9.0,CCN1CC(C)=CC=CC2OC2([13CH2])O1
180100_S1,10.0,CC=CC=C(C)C(O)N(CC)C([13CH2])=O
180400_S1,13.0,CCN1C([13CH2])=CC=CC=C(C)C1OO
180500_S1,13.0,CCNC(=O)C(=CC=CCO)C
180700_S1,13.0,CCN1CC=CC=C(C)C1OO
180800_S1,10.0,CCN1C(O)C(C)=CC=CCC1([13CH2])O
181300_S1,13.0,CC=CC=C(C)C(=O)N(CC)C[13CH2]
181700_S1,10.0,CCN=CC(=CC=CC(=O)C([13CH2])=O)C
181900_S1,12.0,CC=CC=C(C)C(=NCC)OOC[13CH2]
183000_S1,11.0,CCNCC=CC=C(C)CC[13CH2]
183100_S1,13.0,CCNC(C=CC=C(C)CC[13CH2])OO
183300_S1,9.0,[13CH2]C1CC=CC=C(C)C1
183400_S1,11.0,CCNOC12C=CC=C(C)CC1([13CH2])O2
183500_S1,12.0,CCN1C2(O)C=CC=C(C)CC12[13CH2]
183700_S1,13.0,CCN1OC1([13CH2])C1OCC=CC=C1C
183900_S1,11.0,[13CH2]C12CC=CC=C(C)C1O2
184100_S1,14.0,CCN1CC=CC=C(C)C(=O)C1[13CH2]
184200_S1,11.0,CC=CC=C(C)C(O)C([13CH2])=O
184300_S1,11.0,CCN1CC=CC=C(C)C2OC2([13CH2])O1
184400_S1,14.0,CCN=C1C=CC=C(C)C(C[13CH2])O1
184500_S1,13.0,CCN1C2C=CC=C(C)C(OO)C21[13CH2]
184900_S1,16.0,CCN=C([13CH2])C(=O)C(=CC=CC=O)C
185200_S1,13.0,CCN1C2C(C)=CC=CC(O)OC21[13CH2]
185400_S1,11.0,CCN1OOC2([13CH2])CC=CC=C(C)C12
185500_S1,10.0,CCN1C2C=CC=C(C)C1C2([13CH2])O
185700_S1,15.0,CCN1C([13CH2])C1(O)C(=CC=CC=O)C
186000_S1,12.0,CC=CC=C(C)C1(C([13CH2])O)ON1CC
186500_S1,14.0,CC=CC=C(C)C(C[13CH2])=NCC
186700_S1,13.0,CCN=C1C(C)=CC=CC(O)(O)C1[13CH2]
187200_S1,12.0,[13CH2]C1=CC(C)=CC=CCO1
187300_S1,13.0,CCN1CC=CC=C(C)C=C([13CH2])OO1
187400_S1,12.0,CCN=CC=CC=C(C=C([13CH2])O)C
187500_S1,12.0,CCNOC1C=CC=C(C)C=C1[13CH2]
187600_S1,15.0,CCN(O)C([13CH2])=C1OCC=CC=C1C
187900_S1,14.0,CCN(O)CC=CC=C(C)C(O)=C[13CH2]
188000_S1,13.0,CCNOOC1=C([13CH2])CC=CC=C1C
188300_S1,15.0,CCNC(=C[13CH2])C(=CC=CC1OO1)C
189000_S1,15.0,CCNC(=O)C=CC=C(C#C[13CH2])C
189900_S1,8.0,CCN1OC1([13CH2])C1C=CC=C(C)C1
190000_S1,9.0,CCNC1([13CH2])OOC12C=CC=C(C)C2
190200_S1,8.0,[13CH2]C=C1C=CC=C(C)C1
190500_S1,9.0,CCNC12C=CC=C(C)C1O2
190600_S1,8.0,[13CH2]CC1C=CC=C(C)C1O
190700_S1,9.0,CCN(O)C12C=CC=C(C)C1OC2[13CH2]
191000_S1,9.0,[13CH2]COOC1CC=CC=C1C
191300_S1,9.0,[13CH2]CC1(O)C=CC=C(C)C1O
192200_S1,11.0,CCN(C[13CH2])C1C(C)=CC=CC1O
