rmat_tag,distance,largest_cleaned
1372,9.0,CCN(O)C(O)=CC=CC=C(C)C
1373,10.0,CCN1OOC1=CC=CC=C(C)C
1388,11.0,C=C(C=CC=C(C)C)OONCC
1389,11.0,C=C(C=CC=C(C)C)ON(O)CC
1398,9.0,CCNOC=C(O)C=CC=C(C)C
1403,8.0,CCNOC(=C=O)C=CC=C(C)C
1407,11.0,CCN(O)C=C(O)C=CC=C(C)C
1414,9.0,CCNC(O)=C(O)C=CC=C(C)C
1415,10.0,CCNC1=C(C=CC=C(C)C)OO1
1416,10.0,CCN1OC(C=CC=C(C)C)=C1O
1417,10.0,CCN1OC1=C(O)C=CC=C(C)C
1442,10.0,C=C(C=CC=C(C)C)ONCC
1448,9.0,CCNOC(C=CC=C(C)C)=CO
1449,10.0,CCN1OC=C(C=CC=C(C)C)O1
1513,9.0,C=C(C=CC=C(C)C)NCC
1519,10.0,C=C(C=CC=C(C)C)N(O)CC
1520,11.0,C=C(C=CC=C(C)C)N(CC)OO
1524,8.0,CCNC(C=CC=C(C)C)=CO
1525,9.0,CCNC(C=CC=C(C)C)=COO
1526,9.0,CCN1OC=C1C=CC=C(C)C
1527,9.0,CCN(O)C(C=CC=C(C)C)=CO
1537,10.0,CCN1OOC=C1C=CC=C(C)C
1541,7.0,CCNC(C=CC=C(C)C)=C(O)O
1542,8.0,CCNC(C=CC=C(C)C)=C1OO1
1544,8.0,CCN1OC(O)=C1C=CC=C(C)C
1546,7.0,CCNC(=C=O)C=CC=C(C)C
1547,8.0,CCN(O)C(=C=O)C=CC=C(C)C
1682,10.0,CCNOOC#CC=CC=C(C)C
1683,10.0,CCN(O)OC#CC=CC=C(C)C
1691,9.0,CCNOC#CC=CC=C(C)C
1800,8.0,CC=CC=C(C)COCONCC
1802,8.0,CC=CC=C(C)CONCC
1819,8.0,CC=CC=C(C)COC(O)NCC
1822,9.0,CC=CC=C(C)CON(C=O)CC
1823,7.0,CC=CC=C(C)COC(=O)NCC
